,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.002334,0.002432,0.00222,0.002395,1513875600,18953,44.4,2017-12-22 02:00:00
1,0.002204,0.002334,0.002138,0.002334,1513879200,6725,14.95,2017-12-22 03:00:00
2,0.002338,0.002338,0.002204,0.002204,1513882800,2094,4.76,2017-12-22 04:00:00
3,0.002429,0.002429,0.002255,0.002338,1513886400,4893,11.57,2017-12-22 05:00:00
4,0.002411,0.002432,0.002363,0.002429,1513890000,2647,6.34,2017-12-22 06:00:00
5,0.002435,0.002438,0.002343,0.002411,1513893600,2025,4.85,2017-12-22 07:00:00
6,0.002546,0.002547,0.002422,0.002435,1513897200,3028,7.49,2017-12-22 08:00:00
7,0.0028,0.00285,0.002543,0.002546,1513900800,94295,258.5,2017-12-22 09:00:00
8,0.002533,0.0029,0.00253,0.0028,1513904400,28249,78.41,2017-12-22 10:00:00
9,0.002547,0.002749,0.00252,0.002533,1513908000,25597,66.85,2017-12-22 11:00:00
10,0.002428,0.002926,0.002313,0.002547,1513911600,26772,67.21,2017-12-22 12:00:00
11,0.002496,0.00258,0.002346,0.002428,1513915200,12171,30.02,2017-12-22 13:00:00
12,0.002557,0.002557,0.002408,0.002496,1513918800,6881,16.94,2017-12-22 14:00:00
13,0.00251,0.00288,0.002499,0.002557,1513922400,15663,41.82,2017-12-22 15:00:00
14,0.002371,0.002569,0.00215,0.00251,1513926000,21446,50.5,2017-12-22 16:00:00
15,0.002353,0.002534,0.002327,0.002371,1513929600,7238,17.54,2017-12-22 17:00:00
16,0.002431,0.0026,0.002353,0.002353,1513933200,10488,26.05,2017-12-22 18:00:00
17,0.00248,0.002645,0.002401,0.002431,1513936800,4650,11.75,2017-12-22 19:00:00
18,0.002456,0.0026,0.002353,0.00248,1513940400,7262,17.71,2017-12-22 20:00:00
19,0.002426,0.002456,0.002392,0.002456,1513944000,4533,11.03,2017-12-22 21:00:00
20,0.002352,0.002426,0.002103,0.002426,1513947600,10488,23.45,2017-12-22 22:00:00
21,0.002202,0.002352,0.001975,0.002352,1513951200,23549,49.55,2017-12-22 23:00:00
22,0.002246,0.00227,0.002105,0.002202,1513954800,6106,13.41,2017-12-23 00:00:00
23,0.002237,0.002302,0.0022,0.002246,1513958400,4299,9.53,2017-12-23 01:00:00
24,0.002242,0.002302,0.0022,0.002237,1513962000,4886,10.86,2017-12-23 02:00:00
25,0.002302,0.002432,0.002242,0.002242,1513965600,5946,14.04,2017-12-23 03:00:00
26,0.00231,0.002489,0.002272,0.002302,1513969200,11145,26.57,2017-12-23 04:00:00
27,0.00247,0.00247,0.002292,0.00231,1513972800,4428,10.63,2017-12-23 05:00:00
28,0.00255,0.00255,0.002421,0.00247,1513976400,4463,11.05,2017-12-23 06:00:00
29,0.002729,0.0028,0.002526,0.00255,1513980000,12131,32.46,2017-12-23 07:00:00
30,0.002567,0.0028,0.002501,0.002729,1513983600,6966,18.48,2017-12-23 08:00:00
31,0.002467,0.002611,0.002394,0.002567,1513987200,6792,17.17,2017-12-23 09:00:00
32,0.002493,0.002519,0.00243,0.002467,1513990800,3673,8.98,2017-12-23 10:00:00
33,0.002519,0.002519,0.002457,0.002493,1513994400,1404,3.51,2017-12-23 11:00:00
34,0.002502,0.002576,0.002433,0.002519,1513998000,1727,4.27,2017-12-23 12:00:00
35,0.002671,0.002673,0.002502,0.002502,1514001600,8977,23.53,2017-12-23 13:00:00
36,0.002507,0.002671,0.002505,0.002671,1514005200,3827,9.99,2017-12-23 14:00:00
37,0.002446,0.002548,0.002421,0.002507,1514008800,3160,7.76,2017-12-23 15:00:00
