,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.00086,0.00086,0.000838,0.000838,1513875600,11891,10.17,2017-12-22 02:00:00
1,0.000842,0.00086,0.0008312,0.00086,1513879200,3711,3.12,2017-12-22 03:00:00
2,0.0008531,0.0008531,0.0008134,0.000842,1513882800,2422,2.02,2017-12-22 04:00:00
3,0.0008539,0.000872,0.0008531,0.0008531,1513886400,11856,10.27,2017-12-22 05:00:00
4,0.0008668,0.0008993,0.0008539,0.0008539,1513890000,743,0.6493,2017-12-22 06:00:00
5,0.000838,0.0008779,0.000838,0.0008668,1513893600,24704,20.84,2017-12-22 07:00:00
6,0.0008421,0.0008762,0.0008327,0.000838,1513897200,7205,6.11,2017-12-22 08:00:00
7,0.0008396,0.0008489,0.0008395,0.0008421,1513900800,2871,2.43,2017-12-22 09:00:00
8,0.0008266,0.0008473,0.0008,0.0008396,1513904400,24462,19.89,2017-12-22 10:00:00
9,0.0008,0.0008266,0.00078,0.0008266,1513908000,49246,39.14,2017-12-22 11:00:00
10,0.0007911,0.0008,0.0007722,0.0008,1513911600,44352,35.22,2017-12-22 12:00:00
11,0.0007906,0.0008,0.00079,0.0007911,1513915200,33815,26.88,2017-12-22 13:00:00
12,0.0007948,0.0008489,0.00079,0.0007906,1513918800,8614,6.95,2017-12-22 14:00:00
13,0.0008006,0.0008136,0.0007784,0.0007948,1513922400,9869,7.86,2017-12-22 15:00:00
14,0.0007785,0.0008165,0.00075,0.0008006,1513926000,13863,10.95,2017-12-22 16:00:00
15,0.0007785,0.0007785,0.00075,0.0007785,1513929600,26866,20.64,2017-12-22 17:00:00
16,0.0008166,0.0008166,0.0007785,0.0007785,1513933200,25457,20.38,2017-12-22 18:00:00
17,0.0008109,0.0008489,0.000791,0.0008166,1513936800,22763,18.43,2017-12-22 19:00:00
18,0.0008206,0.0008488,0.0008109,0.0008109,1513940400,8987,7.43,2017-12-22 20:00:00
19,0.0007683,0.0008272,0.000754,0.0008206,1513944000,6361,5.13,2017-12-22 21:00:00
20,0.000755,0.0007683,0.0007501,0.0007683,1513947600,14215,10.71,2017-12-22 22:00:00
21,0.0007292,0.0007638,0.0007292,0.000755,1513951200,24488,18.34,2017-12-22 23:00:00
22,0.0007431,0.0007704,0.0007292,0.0007292,1513954800,27589,20.25,2017-12-23 00:00:00
23,0.000754,0.000771,0.0007306,0.0007431,1513958400,17897,13.48,2017-12-23 01:00:00
24,0.0007608,0.0007817,0.0007292,0.000754,1513962000,26564,20.08,2017-12-23 02:00:00
25,0.0007438,0.0007609,0.0007128,0.0007608,1513965600,16798,12.21,2017-12-23 03:00:00
26,0.0007695,0.0007707,0.000735,0.0007438,1513969200,17324,13.11,2017-12-23 04:00:00
27,0.0008608,0.000925,0.0007517,0.0007695,1513972800,67586,59.26,2017-12-23 05:00:00
