,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.0004634,0.0004699,0.0004481,0.0004549,1513875600,97939,44.67,2017-12-22 02:00:00
1,0.00047,0.0004876,0.000445,0.0004634,1513879200,142335,66.18,2017-12-22 03:00:00
2,0.0004719,0.0004876,0.0004656,0.00047,1513882800,84951,40.34,2017-12-22 04:00:00
3,0.0004772,0.0004854,0.0004653,0.0004719,1513886400,25403,12.09,2017-12-22 05:00:00
4,0.00049,0.00049,0.000466,0.0004772,1513890000,85375,40.99,2017-12-22 06:00:00
5,0.0004762,0.00049,0.000467,0.00049,1513893600,32318,15.39,2017-12-22 07:00:00
6,0.000468,0.0004762,0.000468,0.0004762,1513897200,41343,19.44,2017-12-22 08:00:00
7,0.0004668,0.000475,0.0004668,0.000468,1513900800,90128,42.36,2017-12-22 09:00:00
8,0.0004474,0.0004748,0.0004326,0.0004668,1513904400,110240,50.35,2017-12-22 10:00:00
9,0.000441,0.0004567,0.00043,0.0004474,1513908000,51744,22.9,2017-12-22 11:00:00
10,0.0004183,0.0004411,0.0004116,0.000441,1513911600,224096,96.38,2017-12-22 12:00:00
11,0.000425,0.0004307,0.0004116,0.0004183,1513915200,499931,210.98,2017-12-22 13:00:00
12,0.000425,0.000428,0.0004116,0.000425,1513918800,123762,52.21,2017-12-22 14:00:00
13,0.0004224,0.0004411,0.0004222,0.000425,1513922400,98774,42.38,2017-12-22 15:00:00
14,0.0004112,0.0004246,0.0003856,0.0004224,1513926000,196906,80.56,2017-12-22 16:00:00
15,0.000412,0.0004192,0.0004021,0.0004112,1513929600,58696,24.3,2017-12-22 17:00:00
16,0.000425,0.00043,0.0004074,0.000412,1513933200,95651,40.02,2017-12-22 18:00:00
17,0.0004222,0.000438,0.0004207,0.000425,1513936800,42580,18.13,2017-12-22 19:00:00
18,0.0004222,0.000438,0.0004149,0.0004222,1513940400,82301,34.93,2017-12-22 20:00:00
19,0.0004245,0.0004299,0.0004101,0.0004222,1513944000,64846,27.2,2017-12-22 21:00:00
20,0.00042,0.0004384,0.000416,0.0004245,1513947600,195269,82.87,2017-12-22 22:00:00
21,0.0004138,0.0004297,0.0004022,0.00042,1513951200,108622,45.57,2017-12-22 23:00:00
