,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.4247,0.441,0.421,0.441,1513875600,180.77,77.91,2017-12-22 02:00:00
1,0.426,0.4323,0.423,0.4247,1513879200,49.36,21.09,2017-12-22 03:00:00
2,0.4316,0.437,0.4212,0.426,1513882800,77.3,33.14,2017-12-22 04:00:00
3,0.4212,0.442,0.4212,0.4316,1513886400,141.18,60.99,2017-12-22 05:00:00
4,0.4292,0.442,0.4212,0.4212,1513890000,128.8,55.15,2017-12-22 06:00:00
5,0.455,0.4588,0.4292,0.4292,1513893600,36.44,16.27,2017-12-22 07:00:00
6,0.4344,0.455,0.4295,0.455,1513897200,111.07,48.13,2017-12-22 08:00:00
7,0.4212,0.447,0.4212,0.4344,1513900800,94.53,40.72,2017-12-22 09:00:00
8,0.41,0.4299,0.39,0.4212,1513904400,506.07,205.66,2017-12-22 10:00:00
9,0.4002,0.4246,0.394,0.41,1513908000,79.63,32.6,2017-12-22 11:00:00
10,0.4051,0.4099,0.39,0.4002,1513911600,91.0,36.46,2017-12-22 12:00:00
11,0.411,0.4246,0.4051,0.4051,1513915200,97.99,40.49,2017-12-22 13:00:00
12,0.4001,0.42,0.4,0.411,1513918800,101.9,41.56,2017-12-22 14:00:00
13,0.4116,0.42,0.4001,0.4001,1513922400,55.68,23.09,2017-12-22 15:00:00
14,0.423,0.45,0.403,0.4116,1513926000,165.49,70.71,2017-12-22 16:00:00
15,0.4128,0.4299,0.4007,0.423,1513929600,124.71,51.86,2017-12-22 17:00:00
16,0.41,0.4206,0.405,0.4128,1513933200,138.81,57.27,2017-12-22 18:00:00
17,0.39,0.4148,0.39,0.41,1513936800,156.74,63.82,2017-12-22 19:00:00
18,0.3935,0.4043,0.39,0.39,1513940400,150.87,59.7,2017-12-22 20:00:00
19,0.3935,0.396,0.3871,0.3935,1513944000,233.73,91.35,2017-12-22 21:00:00
20,0.3872,0.4043,0.3871,0.3935,1513947600,47.66,18.73,2017-12-22 22:00:00
21,0.3811,0.3978,0.3811,0.3872,1513951200,202.61,77.79,2017-12-22 23:00:00
22,0.393,0.398,0.38,0.3811,1513954800,124.12,47.89,2017-12-23 00:00:00
23,0.3941,0.4075,0.3886,0.393,1513958400,113.95,45.15,2017-12-23 01:00:00
24,0.4106,0.4148,0.3941,0.3941,1513962000,73.43,29.76,2017-12-23 02:00:00
25,0.4206,0.4206,0.4055,0.4106,1513965600,57.66,23.95,2017-12-23 03:00:00
26,0.4377,0.4379,0.4115,0.4206,1513969200,37.44,15.96,2017-12-23 04:00:00
27,0.4167,0.4377,0.4167,0.4377,1513972800,30.35,13.04,2017-12-23 05:00:00
28,0.4259,0.431,0.4167,0.4167,1513976400,28.95,12.2,2017-12-23 06:00:00
29,0.41,0.4259,0.41,0.4259,1513980000,26.23,10.91,2017-12-23 07:00:00
30,0.4,0.4155,0.4,0.41,1513983600,36.28,14.88,2017-12-23 08:00:00
31,0.4005,0.4153,0.3999,0.4,1513987200,33.54,13.52,2017-12-23 09:00:00
32,0.39,0.4122,0.389,0.4005,1513990800,43.76,17.4,2017-12-23 10:00:00
33,0.3939,0.3985,0.3844,0.39,1513994400,22.74,8.88,2017-12-23 11:00:00
34,0.3981,0.3985,0.3872,0.3939,1513998000,39.17,15.51,2017-12-23 12:00:00
35,0.3987,0.409,0.3936,0.3981,1514001600,21.84,8.69,2017-12-23 13:00:00
36,0.388,0.412,0.388,0.3987,1514005200,30.83,12.38,2017-12-23 14:00:00
37,0.3885,0.3983,0.388,0.388,1514008800,8.21,3.24,2017-12-23 15:00:00
38,0.392,0.3969,0.3885,0.3885,1514012400,37.62,14.77,2017-12-23 16:00:00
