,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.000129,0.000132,0.000123,0.00013,1513875600,360711,46.1,2017-12-22 02:00:00
1,0.000127,0.00013,0.0001236,0.000129,1513879200,88338,11.23,2017-12-22 03:00:00
2,0.00013,0.00013,0.000127,0.000127,1513882800,119169,15.43,2017-12-22 04:00:00
3,0.0001263,0.00013,0.000123,0.00013,1513886400,152034,19.26,2017-12-22 05:00:00
4,0.00013,0.00013,0.000123,0.0001263,1513890000,16169,2.07,2017-12-22 06:00:00
5,0.000127,0.00013,0.000123,0.00013,1513893600,80746,9.98,2017-12-22 07:00:00
6,0.000125,0.0001286,0.0001228,0.000127,1513897200,120112,15.0,2017-12-22 08:00:00
7,0.0001275,0.000135,0.000125,0.000125,1513900800,528080,68.71,2017-12-22 09:00:00
8,0.0001304,0.000134,0.0001275,0.0001275,1513904400,261670,33.89,2017-12-22 10:00:00
9,0.0001289,0.000134,0.0001253,0.0001304,1513908000,280080,36.42,2017-12-22 11:00:00
10,0.0001263,0.000135,0.0001163,0.0001289,1513911600,577106,74.9,2017-12-22 12:00:00
11,0.0001235,0.0001302,0.0001233,0.0001263,1513915200,489888,62.29,2017-12-22 13:00:00
12,0.0001201,0.0001262,0.00012,0.0001235,1513918800,192155,23.4,2017-12-22 14:00:00
13,0.0001242,0.0001316,0.0001201,0.0001201,1513922400,402404,49.85,2017-12-22 15:00:00
14,0.0001225,0.0001242,0.000118,0.0001242,1513926000,705467,84.68,2017-12-22 16:00:00
15,0.0001247,0.0001286,0.0001202,0.0001225,1513929600,306113,37.85,2017-12-22 17:00:00
16,0.0001198,0.0001283,0.0001171,0.0001247,1513933200,519020,63.44,2017-12-22 18:00:00
17,0.0001219,0.0001244,0.0001171,0.0001198,1513936800,241854,29.35,2017-12-22 19:00:00
18,0.0001204,0.0001245,0.0001203,0.0001219,1513940400,241235,29.37,2017-12-22 20:00:00
19,0.0001206,0.0001217,0.0001175,0.0001204,1513944000,67748,8.07,2017-12-22 21:00:00
20,0.00012,0.0001239,0.0001191,0.0001206,1513947600,309633,37.47,2017-12-22 22:00:00
21,0.000119,0.000122,0.000117,0.00012,1513951200,698275,82.66,2017-12-22 23:00:00
22,0.0001219,0.0001219,0.0001163,0.000119,1513954800,373452,44.42,2017-12-23 00:00:00
23,0.000121,0.0001302,0.0001202,0.0001219,1513958400,259654,32.67,2017-12-23 01:00:00
24,0.0001251,0.0001264,0.000121,0.000121,1513962000,52085,6.5,2017-12-23 02:00:00
25,0.00013,0.00013,0.0001247,0.0001251,1513965600,81153,10.36,2017-12-23 03:00:00
26,0.0001302,0.0001323,0.0001267,0.00013,1513969200,271325,35.12,2017-12-23 04:00:00
27,0.0001359,0.0001359,0.0001283,0.0001302,1513972800,191841,25.59,2017-12-23 05:00:00
28,0.0001359,0.0001367,0.000133,0.0001359,1513976400,264766,36.04,2017-12-23 06:00:00
29,0.00014,0.00014,0.0001359,0.0001359,1513980000,284990,39.53,2017-12-23 07:00:00
30,0.000138,0.00014,0.0001302,0.00014,1513983600,219159,30.05,2017-12-23 08:00:00
31,0.000132,0.000138,0.000129,0.000138,1513987200,129710,17.17,2017-12-23 09:00:00
32,0.00013,0.000132,0.000129,0.000132,1513990800,60704,7.86,2017-12-23 10:00:00
33,0.0001303,0.000134,0.000127,0.00013,1513994400,218164,28.52,2017-12-23 11:00:00
34,0.000131,0.000134,0.0001303,0.0001303,1513998000,271649,36.19,2017-12-23 12:00:00
35,0.0001289,0.000134,0.0001287,0.000131,1514001600,561550,73.06,2017-12-23 13:00:00
36,0.0001289,0.0001329,0.0001267,0.0001289,1514005200,328513,42.16,2017-12-23 14:00:00
37,0.0001262,0.0001289,0.0001234,0.0001289,1514008800,196709,24.64,2017-12-23 15:00:00
38,0.000124,0.000128,0.0001232,0.0001262,1514012400,176858,22.31,2017-12-23 16:00:00
39,0.0001245,0.000127,0.0001233,0.000124,1514016000,250429,31.38,2017-12-23 17:00:00
40,0.0001252,0.0001276,0.0001218,0.0001245,1514019600,415733,51.89,2017-12-23 18:00:00
41,0.0001263,0.0001263,0.0001165,0.0001252,1514023200,564014,68.9,2017-12-23 19:00:00
42,0.000127,0.0001284,0.000117,0.0001263,1514026800,263388,32.75,2017-12-23 20:00:00
43,0.0001262,0.000128,0.0001189,0.000127,1514030400,198473,24.84,2017-12-23 21:00:00
44,0.000126,0.000128,0.000125,0.0001262,1514034000,293831,37.31,2017-12-23 22:00:00
45,0.000131,0.000134,0.000126,0.000126,1514037600,553931,71.3,2017-12-23 23:00:00
46,0.0001311,0.000134,0.0001275,0.000131,1514041200,972037,128.43,2017-12-24 00:00:00
47,0.0001339,0.000134,0.0001275,0.0001311,1514044800,576964,76.03,2017-12-24 01:00:00
48,0.0001333,0.0001346,0.000131,0.0001339,1514048400,237216,31.71,2017-12-24 02:00:00
49,0.0001335,0.0001343,0.0001327,0.0001333,1514052000,157104,21.03,2017-12-24 03:00:00
50,0.0001355,0.0001365,0.000133,0.0001335,1514055600,136051,18.29,2017-12-24 04:00:00
51,0.0001356,0.000139,0.0001325,0.0001355,1514059200,141603,19.46,2017-12-24 05:00:00
52,0.0001348,0.0001388,0.0001331,0.0001356,1514062800,155154,21.32,2017-12-24 06:00:00
53,0.000135,0.0001386,0.000132,0.0001348,1514066400,456971,61.4,2017-12-24 07:00:00
54,0.00014,0.00014,0.000135,0.000135,1514070000,236592,32.96,2017-12-24 08:00:00
55,0.0001311,0.00014,0.0001275,0.00014,1514073600,445898,58.69,2017-12-24 09:00:00
56,0.000126,0.0001311,0.0001234,0.0001311,1514077200,557910,70.45,2017-12-24 10:00:00
57,0.000123,0.000128,0.000122,0.000126,1514080800,373140,46.42,2017-12-24 11:00:00
58,0.000127,0.000128,0.0001226,0.000123,1514084400,345136,42.87,2017-12-24 12:00:00
59,0.000126,0.000127,0.0001232,0.000127,1514088000,160053,20.09,2017-12-24 13:00:00
60,0.000125,0.000128,0.0001226,0.000126,1514091600,293194,36.49,2017-12-24 14:00:00
61,0.0001258,0.000126,0.000122,0.000125,1514095200,223779,27.99,2017-12-24 15:00:00
62,0.0001245,0.0001281,0.0001236,0.0001258,1514098800,88971,11.08,2017-12-24 16:00:00
63,0.0001285,0.000136,0.0001245,0.0001245,1514102400,600750,77.9,2017-12-24 17:00:00
64,0.0001275,0.0001302,0.0001245,0.0001285,1514106000,191025,24.35,2017-12-24 18:00:00
65,0.0001262,0.000128,0.0001245,0.0001275,1514109600,156764,19.76,2017-12-24 19:00:00
66,0.0001295,0.00013,0.000125,0.0001262,1514113200,117480,14.87,2017-12-24 20:00:00
67,0.000125,0.00013,0.000125,0.0001295,1514116800,255412,32.65,2017-12-24 21:00:00
68,0.000125,0.000127,0.000122,0.000125,1514120400,286458,35.66,2017-12-24 22:00:00
69,0.000127,0.000127,0.0001243,0.000125,1514124000,158000,19.81,2017-12-24 23:00:00
70,0.000126,0.0001307,0.000126,0.000127,1514127600,264354,34.22,2017-12-25 00:00:00
71,0.0001267,0.000128,0.0001254,0.000126,1514131200,104832,13.23,2017-12-25 01:00:00
72,0.000127,0.0001283,0.0001262,0.0001267,1514134800,29929,3.81,2017-12-25 02:00:00
73,0.0001297,0.0001317,0.000127,0.000127,1514138400,35163,4.61,2017-12-25 03:00:00
