,close,high,low,open,time,volumefrom,volumeto,timestamp
0,1.76,1.8,1.73,1.75,1513875600,153.26,268.27,2017-12-22 02:00:00
1,1.66,1.79,1.66,1.76,1513879200,55.07,94.05,2017-12-22 03:00:00
2,1.69,1.7,1.66,1.66,1513882800,35.6,59.81,2017-12-22 04:00:00
3,1.72,1.75,1.69,1.69,1513886400,142.69,246.78,2017-12-22 05:00:00
4,1.72,1.74,1.7,1.72,1513890000,87.52,150.57,2017-12-22 06:00:00
5,1.75,1.78,1.72,1.72,1513893600,52.66,91.97,2017-12-22 07:00:00
6,1.71,1.78,1.7,1.75,1513897200,79.67,138.26,2017-12-22 08:00:00
7,1.71,1.75,1.71,1.71,1513900800,61.99,106.85,2017-12-22 09:00:00
8,1.69,1.75,1.69,1.71,1513904400,80.29,137.31,2017-12-22 10:00:00
9,1.71,1.71,1.66,1.69,1513908000,118.56,199.94,2017-12-22 11:00:00
10,1.69,1.71,1.65,1.71,1513911600,401.52,676.37,2017-12-22 12:00:00
11,1.69,1.76,1.66,1.69,1513915200,99.15,168.84,2017-12-22 13:00:00
12,1.68,1.72,1.63,1.69,1513918800,64.1,106.53,2017-12-22 14:00:00
13,1.64,1.68,1.61,1.68,1513922400,91.36,150.79,2017-12-22 15:00:00
14,1.63,1.68,1.4,1.64,1513926000,236.51,379.95,2017-12-22 16:00:00
15,1.65,1.68,1.52,1.63,1513929600,117.41,188.85,2017-12-22 17:00:00
16,1.72,1.72,1.63,1.65,1513933200,69.0,115.83,2017-12-22 18:00:00
17,1.7,1.74,1.67,1.72,1513936800,86.29,146.97,2017-12-22 19:00:00
18,1.68,1.74,1.64,1.7,1513940400,52.12,89.37,2017-12-22 20:00:00
19,1.64,1.69,1.63,1.68,1513944000,56.75,94.56,2017-12-22 21:00:00
20,1.61,1.66,1.59,1.64,1513947600,220.32,354.78,2017-12-22 22:00:00
21,1.62,1.66,1.56,1.61,1513951200,210.66,336.95,2017-12-22 23:00:00
22,1.71,1.73,1.55,1.62,1513954800,586.44,936.14,2017-12-23 00:00:00
23,1.72,1.75,1.65,1.71,1513958400,315.48,537.46,2017-12-23 01:00:00
24,1.71,1.78,1.71,1.72,1513962000,81.15,141.85,2017-12-23 02:00:00
25,1.87,1.88,1.71,1.71,1513965600,116.37,209.92,2017-12-23 03:00:00
26,1.85,1.89,1.83,1.87,1513969200,148.41,275.36,2017-12-23 04:00:00
27,1.79,1.85,1.79,1.85,1513972800,63.37,115.19,2017-12-23 05:00:00
28,1.75,1.8,1.75,1.79,1513976400,48.7,86.12,2017-12-23 06:00:00
29,1.73,1.77,1.71,1.75,1513980000,142.07,248.39,2017-12-23 07:00:00
30,1.74,1.78,1.7,1.73,1513983600,74.15,129.2,2017-12-23 08:00:00
31,1.72,1.78,1.71,1.74,1513987200,45.31,78.82,2017-12-23 09:00:00
32,1.71,1.75,1.68,1.72,1513990800,26.07,44.62,2017-12-23 10:00:00
33,1.67,1.71,1.67,1.71,1513994400,64.53,108.52,2017-12-23 11:00:00
34,1.76,1.76,1.67,1.67,1513998000,83.76,143.13,2017-12-23 12:00:00
35,1.71,1.78,1.71,1.76,1514001600,101.63,176.68,2017-12-23 13:00:00
36,1.7,1.74,1.68,1.71,1514005200,65.1,111.9,2017-12-23 14:00:00
37,1.69,1.74,1.67,1.7,1514008800,72.5,122.96,2017-12-23 15:00:00
