,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.2305,0.2419,0.2253,0.2367,1513875600,70.68,16.64,2017-12-22 02:00:00
1,0.2205,0.2305,0.2196,0.2305,1513879200,5.61,1.25,2017-12-22 03:00:00
2,0.221,0.2301,0.2159,0.2205,1513882800,9.38,2.06,2017-12-22 04:00:00
3,0.2196,0.2311,0.219,0.221,1513886400,13.25,3.04,2017-12-22 05:00:00
4,0.216,0.2201,0.2159,0.2196,1513890000,9.4,2.05,2017-12-22 06:00:00
5,0.2255,0.2255,0.216,0.216,1513893600,42.7,9.63,2017-12-22 07:00:00
6,0.225,0.2255,0.2009,0.2255,1513897200,32.62,6.84,2017-12-22 08:00:00
7,0.219,0.225,0.219,0.225,1513900800,0.18,0.03956,2017-12-22 09:00:00
8,0.2217,0.2217,0.2145,0.219,1513904400,3.55,0.7622,2017-12-22 10:00:00
9,0.214,0.2217,0.2102,0.2217,1513908000,31.62,6.91,2017-12-22 11:00:00
10,0.2067,0.214,0.2054,0.214,1513911600,30.12,6.33,2017-12-22 12:00:00
11,0.2091,0.2091,0.2067,0.2067,1513915200,3.23,0.6674,2017-12-22 13:00:00
12,0.2115,0.2115,0.2086,0.2091,1513918800,3.5,0.7325,2017-12-22 14:00:00
13,0.2058,0.2115,0.203,0.2115,1513922400,31.14,6.51,2017-12-22 15:00:00
14,0.2058,0.2058,0.203,0.2058,1513926000,52.32,10.63,2017-12-22 16:00:00
15,0.2054,0.2113,0.2054,0.2058,1513929600,19.78,4.13,2017-12-22 17:00:00
16,0.2015,0.2054,0.2015,0.2054,1513933200,39.37,7.94,2017-12-22 18:00:00
17,0.2015,0.2101,0.2015,0.2015,1513936800,74.68,15.11,2017-12-22 19:00:00
18,0.2056,0.2268,0.2015,0.2015,1513940400,36.43,7.88,2017-12-22 20:00:00
19,0.2054,0.2056,0.2029,0.2056,1513944000,16.85,3.45,2017-12-22 21:00:00
20,0.213,0.213,0.2052,0.2054,1513947600,16.29,3.41,2017-12-22 22:00:00
21,0.21,0.213,0.21,0.213,1513951200,33.3,7.0,2017-12-22 23:00:00
22,0.2095,0.2362,0.2,0.21,1513954800,41.4,8.66,2017-12-23 00:00:00
23,0.2059,0.2176,0.2,0.2095,1513958400,54.58,11.07,2017-12-23 01:00:00
24,0.2068,0.2068,0.2016,0.2059,1513962000,12.02,2.47,2017-12-23 02:00:00
25,0.2068,0.2081,0.2061,0.2068,1513965600,29.06,6.03,2017-12-23 03:00:00
26,0.2285,0.2285,0.2041,0.2068,1513969200,6.18,1.33,2017-12-23 04:00:00
27,0.209,0.2285,0.2077,0.2285,1513972800,25.48,5.34,2017-12-23 05:00:00
28,0.2151,0.2151,0.209,0.209,1513976400,4.15,0.8843,2017-12-23 06:00:00
29,0.2283,0.2283,0.2123,0.2151,1513980000,24.45,5.25,2017-12-23 07:00:00
30,0.2183,0.2283,0.215,0.2283,1513983600,24.21,5.25,2017-12-23 08:00:00
31,0.2122,0.2183,0.2,0.2183,1513987200,101.49,21.35,2017-12-23 09:00:00
32,0.213,0.213,0.2122,0.2122,1513990800,1.0,0.213,2017-12-23 10:00:00
33,0.21,0.2139,0.2058,0.213,1513994400,2.13,0.4419,2017-12-23 11:00:00
34,0.2092,0.21,0.2061,0.21,1513998000,5.79,1.2,2017-12-23 12:00:00
35,0.2092,0.2092,0.2065,0.2092,1514001600,1.57,0.3271,2017-12-23 13:00:00
36,0.2061,0.2116,0.2061,0.2092,1514005200,59.31,12.41,2017-12-23 14:00:00
37,0.2031,0.208,0.2031,0.2061,1514008800,1.18,0.2444,2017-12-23 15:00:00
38,0.2092,0.2092,0.2031,0.2031,1514012400,41.23,8.58,2017-12-23 16:00:00
39,0.2179,0.22,0.2071,0.2092,1514016000,35.29,7.66,2017-12-23 17:00:00
40,0.225,0.2285,0.2124,0.2179,1514019600,97.49,21.86,2017-12-23 18:00:00
41,0.2245,0.23,0.2245,0.225,1514023200,20.32,4.59,2017-12-23 19:00:00
42,0.2249,0.2265,0.219,0.2245,1514026800,56.12,12.67,2017-12-23 20:00:00
43,0.2211,0.2273,0.2211,0.2249,1514030400,6.85,1.53,2017-12-23 21:00:00
44,0.2226,0.271,0.2192,0.2211,1514034000,1217.04,293.2,2017-12-23 22:00:00
45,0.2185,0.228,0.2124,0.2226,1514037600,92.38,20.54,2017-12-23 23:00:00
46,0.2135,0.2185,0.2102,0.2185,1514041200,92.47,19.86,2017-12-24 00:00:00
47,0.2119,0.2159,0.2078,0.2135,1514044800,101.99,21.49,2017-12-24 01:00:00
48,0.2071,0.2159,0.2071,0.2119,1514048400,66.73,14.2,2017-12-24 02:00:00
49,0.2157,0.2157,0.2071,0.2071,1514052000,52.99,11.2,2017-12-24 03:00:00
50,0.2097,0.2157,0.2097,0.2157,1514055600,12.11,2.58,2017-12-24 04:00:00
51,0.2105,0.2157,0.2071,0.2097,1514059200,24.45,5.19,2017-12-24 05:00:00
52,0.217,0.22,0.2079,0.2105,1514062800,38.68,8.26,2017-12-24 06:00:00
53,0.2124,0.217,0.2078,0.217,1514066400,53.13,11.29,2017-12-24 07:00:00
54,0.2084,0.2145,0.2084,0.2124,1514070000,27.19,5.74,2017-12-24 08:00:00
55,0.2108,0.2108,0.2069,0.2084,1514073600,80.92,16.82,2017-12-24 09:00:00
56,0.2108,0.2109,0.2108,0.2108,1514077200,8.38,1.77,2017-12-24 10:00:00
57,0.205,0.214,0.205,0.2108,1514080800,42.93,8.87,2017-12-24 11:00:00
58,0.213,0.217,0.205,0.205,1514084400,17.2,3.66,2017-12-24 12:00:00
59,0.213,0.225,0.213,0.213,1514088000,24.22,5.42,2017-12-24 13:00:00
60,0.2107,0.2249,0.2102,0.213,1514091600,14.11,3.02,2017-12-24 14:00:00
61,0.2104,0.2136,0.2104,0.2107,1514095200,9.75,2.06,2017-12-24 15:00:00
62,0.2149,0.2249,0.2104,0.2104,1514098800,14.02,3.03,2017-12-24 16:00:00
63,0.2141,0.2196,0.2141,0.2149,1514102400,5.68,1.23,2017-12-24 17:00:00
64,0.2192,0.2192,0.2141,0.2141,1514106000,5.75,1.25,2017-12-24 18:00:00
65,0.2215,0.2224,0.2168,0.2192,1514109600,11.41,2.5,2017-12-24 19:00:00
