,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.00047,0.0004711,0.000425,0.000435,1513875600,13270,5.72,2017-12-22 02:00:00
1,0.00046,0.0004711,0.0004278,0.00047,1513879200,24831,10.8,2017-12-22 03:00:00
2,0.0004781,0.0004784,0.0004554,0.00046,1513882800,10131,4.71,2017-12-22 04:00:00
3,0.000465,0.0004781,0.0004554,0.0004781,1513886400,5325,2.47,2017-12-22 05:00:00
4,0.0004798,0.0004798,0.000465,0.000465,1513890000,5774,2.74,2017-12-22 06:00:00
5,0.0004308,0.0005083,0.0004307,0.0004798,1513893600,90932,44.17,2017-12-22 07:00:00
6,0.0004352,0.0004866,0.0004308,0.0004308,1513897200,16787,7.32,2017-12-22 08:00:00
7,0.0004389,0.0004427,0.0004278,0.0004352,1513900800,28528,12.28,2017-12-22 09:00:00
8,0.0004278,0.0004389,0.0004278,0.0004389,1513904400,44985,19.31,2017-12-22 10:00:00
9,0.0003791,0.0004424,0.000375,0.0004278,1513908000,44698,17.64,2017-12-22 11:00:00
10,0.0003981,0.0004027,0.000375,0.0003791,1513911600,22529,8.81,2017-12-22 12:00:00
11,0.0004104,0.0004142,0.000394,0.0003981,1513915200,25282,10.09,2017-12-22 13:00:00
12,0.0004176,0.0004176,0.0004028,0.0004104,1513918800,3890,1.6,2017-12-22 14:00:00
13,0.0004028,0.0004176,0.0004028,0.0004176,1513922400,2532,1.03,2017-12-22 15:00:00
14,0.0004053,0.0004183,0.0003921,0.0004028,1513926000,20523,8.22,2017-12-22 16:00:00
15,0.0004146,0.0004183,0.0004053,0.0004053,1513929600,1522,0.6267,2017-12-22 17:00:00
16,0.0004053,0.0004146,0.0004,0.0004146,1513933200,12556,5.12,2017-12-22 18:00:00
17,0.0004101,0.0004101,0.0003973,0.0004053,1513936800,7118,2.89,2017-12-22 19:00:00
18,0.000415,0.000415,0.0004033,0.0004101,1513940400,5846,2.4,2017-12-22 20:00:00
19,0.00041,0.000415,0.0004032,0.000415,1513944000,4784,1.96,2017-12-22 21:00:00
20,0.000411,0.0004131,0.000398,0.00041,1513947600,9136,3.7,2017-12-22 22:00:00
21,0.0004105,0.000415,0.0004059,0.000411,1513951200,9954,4.1,2017-12-22 23:00:00
22,0.000392,0.0004105,0.000392,0.0004105,1513954800,6434,2.59,2017-12-23 00:00:00
23,0.0004077,0.000415,0.000392,0.000392,1513958400,8402,3.43,2017-12-23 01:00:00
24,0.0004184,0.0004351,0.0004077,0.0004077,1513962000,3306,1.38,2017-12-23 02:00:00
25,0.000438,0.0004514,0.0004098,0.0004184,1513965600,11034,4.73,2017-12-23 03:00:00
26,0.0004385,0.0004385,0.000429,0.000438,1513969200,5768,2.49,2017-12-23 04:00:00
27,0.0004697,0.0004697,0.0004385,0.0004385,1513972800,3836,1.77,2017-12-23 05:00:00
28,0.0004373,0.0004697,0.0004324,0.0004697,1513976400,16826,7.33,2017-12-23 06:00:00
29,0.0004296,0.000442,0.0004135,0.0004373,1513980000,23115,10.01,2017-12-23 07:00:00
30,0.000442,0.000442,0.0004296,0.0004296,1513983600,5011,2.21,2017-12-23 08:00:00
31,0.0004344,0.000442,0.0004344,0.000442,1513987200,1196,0.5259,2017-12-23 09:00:00
32,0.0004308,0.0004362,0.000422,0.0004344,1513990800,13762,5.95,2017-12-23 10:00:00
33,0.0004862,0.0004862,0.0004308,0.0004308,1513994400,32958,14.89,2017-12-23 11:00:00
