,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.000124,0.000131,0.000119,0.0001291,1513875600,185931,23.34,2017-12-22 02:00:00
1,0.0001282,0.0001289,0.0001152,0.000124,1513879200,119243,14.82,2017-12-22 03:00:00
2,0.0001283,0.0001283,0.0001225,0.0001282,1513882800,166371,20.87,2017-12-22 04:00:00
3,0.000129,0.000129,0.0001267,0.0001283,1513886400,39089,5.0,2017-12-22 05:00:00
4,0.000123,0.00013,0.0001225,0.000129,1513890000,132569,16.7,2017-12-22 06:00:00
5,0.0001227,0.0001264,0.00012,0.000123,1513893600,226023,27.69,2017-12-22 07:00:00
6,0.0001232,0.000125,0.00012,0.0001227,1513897200,186893,22.66,2017-12-22 08:00:00
7,0.0001259,0.0001267,0.000121,0.0001232,1513900800,268192,33.64,2017-12-22 09:00:00
8,0.0001162,0.0001273,0.0001153,0.0001259,1513904400,249406,30.5,2017-12-22 10:00:00
9,0.0001151,0.0001205,0.000115,0.0001162,1513908000,299048,34.93,2017-12-22 11:00:00
10,0.0001094,0.0001152,0.0001078,0.0001151,1513911600,357307,39.67,2017-12-22 12:00:00
11,0.0001108,0.0001134,0.0001075,0.0001094,1513915200,352437,38.96,2017-12-22 13:00:00
12,0.0001076,0.0001146,0.0001076,0.0001108,1513918800,178854,20.01,2017-12-22 14:00:00
13,0.0001054,0.0001144,0.000105,0.0001076,1513922400,259068,27.99,2017-12-22 15:00:00
14,0.0001061,0.0001061,0.000101,0.0001054,1513926000,541391,55.23,2017-12-22 16:00:00
15,0.0001025,0.0001061,0.0001012,0.0001061,1513929600,96406,9.94,2017-12-22 17:00:00
16,0.0001064,0.0001086,0.0001014,0.0001025,1513933200,358175,37.7,2017-12-22 18:00:00
17,0.0001118,0.0001127,0.000105,0.0001064,1513936800,130244,14.11,2017-12-22 19:00:00
18,0.000113,0.000113,0.0001086,0.0001118,1513940400,66069,7.41,2017-12-22 20:00:00
19,0.0001139,0.0001163,0.000112,0.000113,1513944000,61714,7.04,2017-12-22 21:00:00
20,0.000106,0.0001139,0.0001012,0.0001139,1513947600,436969,48.02,2017-12-22 22:00:00
21,0.000106,0.000109,0.0001013,0.000106,1513951200,1152092,122.15,2017-12-22 23:00:00
22,0.0001096,0.0001135,0.000106,0.000106,1513954800,940074,100.28,2017-12-23 00:00:00
23,0.0001119,0.0001157,0.0001071,0.0001096,1513958400,381812,42.48,2017-12-23 01:00:00
24,0.0001173,0.00012,0.000111,0.0001119,1513962000,199195,23.15,2017-12-23 02:00:00
25,0.0001185,0.0001185,0.000114,0.0001173,1513965600,30527,3.54,2017-12-23 03:00:00
26,0.0001192,0.0001198,0.000117,0.0001185,1513969200,70077,8.31,2017-12-23 04:00:00
27,0.0001245,0.0001245,0.0001192,0.0001192,1513972800,209542,25.35,2017-12-23 05:00:00
28,0.0001273,0.0001273,0.0001227,0.0001245,1513976400,73749,9.18,2017-12-23 06:00:00
29,0.0001331,0.0001397,0.0001261,0.0001273,1513980000,365081,49.12,2017-12-23 07:00:00
30,0.000131,0.0001343,0.0001307,0.0001331,1513983600,143312,18.81,2017-12-23 08:00:00
31,0.0001245,0.0001343,0.0001245,0.000131,1513987200,230578,29.13,2017-12-23 09:00:00
32,0.0001299,0.0001299,0.000124,0.0001245,1513990800,67449,8.56,2017-12-23 10:00:00
33,0.000137,0.000137,0.0001262,0.0001299,1513994400,211179,27.9,2017-12-23 11:00:00
34,0.000138,0.0001396,0.0001344,0.000137,1513998000,394623,54.19,2017-12-23 12:00:00
35,0.0001375,0.0001456,0.000137,0.000138,1514001600,1156675,164.74,2017-12-23 13:00:00
36,0.0001356,0.0001411,0.000135,0.0001375,1514005200,271823,37.39,2017-12-23 14:00:00
37,0.0001351,0.0001388,0.000135,0.0001356,1514008800,217209,29.96,2017-12-23 15:00:00
38,0.0001389,0.0001389,0.000135,0.0001351,1514012400,326318,44.48,2017-12-23 16:00:00
39,0.0001424,0.0001451,0.0001358,0.0001389,1514016000,425179,61.01,2017-12-23 17:00:00
40,0.0001442,0.00015,0.0001396,0.0001424,1514019600,526001,76.36,2017-12-23 18:00:00
41,0.000164,0.000164,0.000143,0.0001442,1514023200,523062,80.78,2017-12-23 19:00:00
42,0.000157,0.000165,0.00015,0.000164,1514026800,507239,80.38,2017-12-23 20:00:00
43,0.0001626,0.0001651,0.0001462,0.000157,1514030400,685996,107.19,2017-12-23 21:00:00
44,0.0001602,0.000164,0.0001564,0.0001626,1514034000,525615,84.42,2017-12-23 22:00:00
45,0.000148,0.0001638,0.0001462,0.0001602,1514037600,461158,72.58,2017-12-23 23:00:00
46,0.0001449,0.0001555,0.0001311,0.000148,1514041200,342771,49.29,2017-12-24 00:00:00
47,0.0001566,0.0001566,0.0001449,0.0001449,1514044800,547283,81.04,2017-12-24 01:00:00
48,0.0001566,0.000161,0.000151,0.0001566,1514048400,371041,57.3,2017-12-24 02:00:00
49,0.0001502,0.0001578,0.000149,0.0001566,1514052000,173507,26.4,2017-12-24 03:00:00
50,0.0001513,0.0001547,0.000149,0.0001502,1514055600,66664,10.13,2017-12-24 04:00:00
51,0.0001504,0.0001545,0.0001483,0.0001513,1514059200,93487,14.16,2017-12-24 05:00:00
52,0.0001534,0.0001535,0.0001461,0.0001504,1514062800,465328,69.83,2017-12-24 06:00:00
53,0.0001482,0.0001534,0.0001482,0.0001534,1514066400,211553,31.6,2017-12-24 07:00:00
54,0.0001441,0.0001505,0.0001402,0.0001482,1514070000,197357,28.48,2017-12-24 08:00:00
55,0.000142,0.0001448,0.000131,0.0001441,1514073600,211131,29.41,2017-12-24 09:00:00
56,0.000142,0.0001448,0.0001395,0.000142,1514077200,267013,37.66,2017-12-24 10:00:00
57,0.0001388,0.0001444,0.0001353,0.000142,1514080800,291287,40.48,2017-12-24 11:00:00
58,0.0001417,0.0001448,0.000138,0.0001388,1514084400,231592,32.52,2017-12-24 12:00:00
59,0.0001409,0.0001446,0.0001398,0.0001417,1514088000,190641,26.98,2017-12-24 13:00:00
60,0.0001409,0.0001419,0.0001378,0.0001409,1514091600,55351,7.7,2017-12-24 14:00:00
61,0.000144,0.000145,0.0001378,0.0001409,1514095200,104784,14.81,2017-12-24 15:00:00
62,0.000144,0.000144,0.0001372,0.000144,1514098800,111615,15.87,2017-12-24 16:00:00
63,0.0001373,0.000144,0.0001373,0.000144,1514102400,51792,7.29,2017-12-24 17:00:00
64,0.0001373,0.0001396,0.0001373,0.0001373,1514106000,57544,7.95,2017-12-24 18:00:00
65,0.000137,0.000139,0.000132,0.0001373,1514109600,355032,47.78,2017-12-24 19:00:00
66,0.0001395,0.000143,0.000137,0.000137,1514113200,192734,27.08,2017-12-24 20:00:00
67,0.0001376,0.0001418,0.0001368,0.0001395,1514116800,78376,10.83,2017-12-24 21:00:00
68,0.0001384,0.0001387,0.0001357,0.0001376,1514120400,65892,9.01,2017-12-24 22:00:00
69,0.0001433,0.000145,0.0001377,0.0001384,1514124000,143816,20.27,2017-12-24 23:00:00
70,0.0001423,0.000145,0.0001423,0.0001433,1514127600,85366,12.19,2017-12-25 00:00:00
71,0.0001413,0.0001454,0.0001413,0.0001423,1514131200,121098,17.38,2017-12-25 01:00:00
72,0.00014,0.0001413,0.000138,0.0001413,1514134800,224259,31.24,2017-12-25 02:00:00
73,0.0001396,0.0001417,0.000138,0.00014,1514138400,36761,5.12,2017-12-25 03:00:00
74,0.0001413,0.0001417,0.000138,0.0001396,1514142000,160777,22.21,2017-12-25 04:00:00
75,0.0001417,0.0001417,0.000138,0.0001413,1514145600,81233,11.29,2017-12-25 05:00:00
76,0.0001481,0.0001481,0.0001417,0.0001417,1514149200,51729,7.47,2017-12-25 06:00:00
