,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.02167,0.02194,0.0211,0.02139,1524614400,190372.15,4110.51,2018-04-25 09:00:00
1,0.02184,0.02186,0.02124,0.02167,1524618000,107672.65,2323.58,2018-04-25 10:00:00
2,0.0216,0.02222,0.0215,0.02184,1524621600,208665.03,4571.6,2018-04-25 11:00:00
3,0.02145,0.022,0.02143,0.0216,1524625200,197309.59,4295.46,2018-04-25 12:00:00
4,0.02185,0.02191,0.02123,0.02145,1524628800,312279.75,6747.19,2018-04-25 13:00:00
5,0.02172,0.02193,0.02145,0.02185,1524632400,188105.59,4083.86,2018-04-25 14:00:00
6,0.02216,0.02222,0.02168,0.02172,1524636000,155262.9,3414.56,2018-04-25 15:00:00
7,0.02232,0.02267,0.0221,0.02216,1524639600,250872.96,5615.13,2018-04-25 16:00:00
8,0.02246,0.02259,0.0222,0.02232,1524643200,134388.56,3011.86,2018-04-25 17:00:00
9,0.02229,0.02251,0.02203,0.02246,1524646800,141176.39,3149.07,2018-04-25 18:00:00
10,0.02263,0.02264,0.0219,0.02229,1524650400,321006.56,7150.11,2018-04-25 19:00:00
11,0.02283,0.02302,0.02243,0.02263,1524654000,264074.08,5989.35,2018-04-25 20:00:00
12,0.02233,0.02295,0.0223,0.02283,1524657600,284601.13,6430.09,2018-04-25 21:00:00
13,0.02263,0.02266,0.02208,0.02232,1524661200,352878.62,7872.33,2018-04-25 22:00:00
14,0.02276,0.02277,0.02211,0.0226,1524664800,404819.47,9081.59,2018-04-25 23:00:00
15,0.0232,0.02321,0.02259,0.02276,1524668400,169086.12,3866.27,2018-04-26 00:00:00
16,0.02302,0.02321,0.02269,0.0232,1524672000,107418.52,2467.27,2018-04-26 01:00:00
17,0.02359,0.02382,0.02288,0.02302,1524675600,152276.35,3560.13,2018-04-26 02:00:00
18,0.0235,0.02363,0.02321,0.02359,1524679200,102150.55,2394.74,2018-04-26 03:00:00
19,0.02322,0.02353,0.02304,0.0235,1524682800,49921.56,1165.14,2018-04-26 04:00:00
20,0.02373,0.02379,0.02322,0.02322,1524686400,95253.18,2238.58,2018-04-26 05:00:00
21,0.02323,0.02386,0.02309,0.02373,1524690000,87077.98,2048.77,2018-04-26 06:00:00
22,0.0233,0.02342,0.023,0.02323,1524693600,93023.2,2161.97,2018-04-26 07:00:00
23,0.02335,0.0236,0.02313,0.0233,1524697200,186319.16,4373.96,2018-04-26 08:00:00
24,0.02342,0.02351,0.02303,0.02335,1524700800,101346.59,2354.61,2018-04-26 09:00:00
25,0.02337,0.02386,0.0233,0.02342,1524704400,159562.24,3777.83,2018-04-26 10:00:00
26,0.02354,0.02365,0.02337,0.02337,1524708000,55525.52,1308.37,2018-04-26 11:00:00
27,0.02371,0.02371,0.02348,0.02354,1524711600,41134.76,971.77,2018-04-26 12:00:00
28,0.02365,0.0241,0.02362,0.02371,1524715200,103295.22,2467.49,2018-04-26 13:00:00
29,0.02349,0.02371,0.02331,0.02365,1524718800,79308.56,1865.28,2018-04-26 14:00:00
30,0.02366,0.02371,0.0233,0.02349,1524722400,102965.23,2419.73,2018-04-26 15:00:00
31,0.02337,0.02366,0.0233,0.02366,1524726000,74579.0,1746.65,2018-04-26 16:00:00
32,0.02344,0.02363,0.02335,0.02337,1524729600,127390.64,2996.66,2018-04-26 17:00:00
33,0.02324,0.02348,0.02294,0.02344,1524733200,137456.09,3186.37,2018-04-26 18:00:00
34,0.02321,0.02346,0.0231,0.02324,1524736800,142217.53,3314.42,2018-04-26 19:00:00
35,0.02295,0.02321,0.02292,0.02321,1524740400,282945.88,6527.58,2018-04-26 20:00:00
36,0.02293,0.02308,0.0228,0.02295,1524744000,217443.44,4989.11,2018-04-26 21:00:00
37,0.02293,0.02298,0.02274,0.02293,1524747600,141519.08,3235.02,2018-04-26 22:00:00
38,0.02293,0.02297,0.02271,0.02293,1524751200,131329.08,3001.51,2018-04-26 23:00:00
39,0.02294,0.02296,0.02261,0.02293,1524754800,71636.49,1633.43,2018-04-27 00:00:00
40,0.02343,0.02348,0.02289,0.02294,1524758400,101850.65,2359.7,2018-04-27 01:00:00
41,0.02322,0.02344,0.023,0.02343,1524762000,101127.85,2347.61,2018-04-27 02:00:00
42,0.02317,0.02334,0.02309,0.02322,1524765600,67961.27,1578.71,2018-04-27 03:00:00
43,0.02323,0.02327,0.02317,0.02317,1524769200,15624.92,362.62,2018-04-27 04:00:00
44,0.02311,0.02347,0.02308,0.02323,1524772800,42452.71,987.14,2018-04-27 05:00:00
45,0.02307,0.02315,0.02295,0.02311,1524776400,40031.93,921.99,2018-04-27 06:00:00
46,0.02332,0.02356,0.02303,0.02307,1524780000,58994.71,1375.85,2018-04-27 07:00:00
47,0.02333,0.02339,0.02312,0.02332,1524783600,36968.73,859.04,2018-04-27 08:00:00
48,0.02327,0.02339,0.02317,0.02333,1524787200,34445.58,802.73,2018-04-27 09:00:00
