,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.0473,0.04817,0.04689,0.04796,1513875600,9048.17,431.24,2017-12-22 02:00:00
1,0.0474,0.04775,0.0468,0.0473,1513879200,4208.37,198.04,2017-12-22 03:00:00
2,0.0479,0.04791,0.047,0.0474,1513882800,1246.85,58.91,2017-12-22 04:00:00
3,0.0482,0.049,0.04725,0.0479,1513886400,2580.57,124.17,2017-12-22 05:00:00
4,0.04835,0.04859,0.04759,0.0482,1513890000,4837.35,232.66,2017-12-22 06:00:00
5,0.04804,0.049,0.04747,0.04835,1513893600,3401.69,165.4,2017-12-22 07:00:00
6,0.04733,0.04852,0.04733,0.04804,1513897200,3919.41,186.56,2017-12-22 08:00:00
7,0.0467,0.04796,0.04634,0.04733,1513900800,7666.89,362.48,2017-12-22 09:00:00
8,0.046,0.04696,0.046,0.0467,1513904400,6229.03,289.34,2017-12-22 10:00:00
9,0.04662,0.04695,0.0455,0.046,1513908000,6512.74,301.43,2017-12-22 11:00:00
10,0.04346,0.04694,0.0418,0.04662,1513911600,27379.89,1212.57,2017-12-22 12:00:00
11,0.045,0.04564,0.04272,0.04346,1513915200,17376.49,771.39,2017-12-22 13:00:00
12,0.04514,0.04599,0.04482,0.045,1513918800,6179.2,280.96,2017-12-22 14:00:00
13,0.0454,0.0459,0.045,0.04514,1513922400,4802.71,217.63,2017-12-22 15:00:00
14,0.04381,0.0454,0.04209,0.0454,1513926000,13991.73,611.04,2017-12-22 16:00:00
15,0.044,0.0443,0.04078,0.04381,1513929600,17620.87,746.73,2017-12-22 17:00:00
16,0.04429,0.04591,0.04372,0.044,1513933200,7355.89,328.2,2017-12-22 18:00:00
17,0.04312,0.04509,0.042,0.04429,1513936800,8018.62,352.49,2017-12-22 19:00:00
18,0.0434,0.04431,0.043,0.04312,1513940400,4358.89,189.75,2017-12-22 20:00:00
19,0.04275,0.04369,0.04275,0.0434,1513944000,4831.49,208.22,2017-12-22 21:00:00
20,0.04272,0.04332,0.04175,0.04275,1513947600,7165.34,304.3,2017-12-22 22:00:00
21,0.04245,0.04347,0.04125,0.04272,1513951200,11352.81,479.96,2017-12-22 23:00:00
22,0.04331,0.04331,0.042,0.04245,1513954800,7806.05,331.76,2017-12-23 00:00:00
23,0.04242,0.04351,0.04152,0.04331,1513958400,8483.65,361.52,2017-12-23 01:00:00
24,0.04333,0.0439,0.04184,0.04242,1513962000,5224.42,225.59,2017-12-23 02:00:00
25,0.04372,0.04429,0.0431,0.04333,1513965600,2306.63,100.62,2017-12-23 03:00:00
26,0.0444,0.04499,0.04351,0.04372,1513969200,3749.16,165.58,2017-12-23 04:00:00
27,0.04489,0.04509,0.04405,0.0444,1513972800,1953.08,87.3,2017-12-23 05:00:00
28,0.04477,0.04548,0.04407,0.04489,1513976400,3819.17,170.43,2017-12-23 06:00:00
29,0.04459,0.04477,0.04395,0.04477,1513980000,4615.29,204.38,2017-12-23 07:00:00
30,0.04372,0.0446,0.04272,0.04459,1513983600,3488.98,152.36,2017-12-23 08:00:00
31,0.04385,0.04436,0.04259,0.04372,1513987200,4524.93,198.03,2017-12-23 09:00:00
32,0.04356,0.04403,0.04259,0.04385,1513990800,2193.86,94.85,2017-12-23 10:00:00
33,0.04319,0.04356,0.04314,0.04356,1513994400,1692.45,73.32,2017-12-23 11:00:00
34,0.04403,0.04403,0.04311,0.04319,1513998000,4064.87,177.29,2017-12-23 12:00:00
35,0.04358,0.0442,0.04308,0.04403,1514001600,5633.08,246.16,2017-12-23 13:00:00
36,0.04328,0.0438,0.043,0.04358,1514005200,3553.97,154.14,2017-12-23 14:00:00
37,0.04315,0.04351,0.04272,0.04328,1514008800,4353.7,187.85,2017-12-23 15:00:00
38,0.04301,0.04402,0.043,0.04315,1514012400,7154.19,310.73,2017-12-23 16:00:00
39,0.04326,0.04367,0.04301,0.04301,1514016000,2826.07,122.13,2017-12-23 17:00:00
40,0.04325,0.04327,0.0425,0.04326,1514019600,4224.62,181.49,2017-12-23 18:00:00
41,0.04282,0.04337,0.04248,0.04325,1514023200,4164.23,178.22,2017-12-23 19:00:00
42,0.04308,0.04359,0.04226,0.04282,1514026800,4991.8,213.89,2017-12-23 20:00:00
43,0.04352,0.04373,0.04308,0.04308,1514030400,3617.06,157.2,2017-12-23 21:00:00
44,0.04324,0.0438,0.0426,0.04352,1514034000,4627.41,199.88,2017-12-23 22:00:00
