,close,high,low,open,time,volumefrom,volumeto,timestamp
0,7.493e-05,7.75e-05,7.201e-05,7.3e-05,1513875600,1248906,92.89,2017-12-22 02:00:00
1,7.386e-05,7.5e-05,7.214e-05,7.493e-05,1513879200,1017363,75.15,2017-12-22 03:00:00
2,7.546e-05,7.548e-05,7.142e-05,7.386e-05,1513882800,691812,50.25,2017-12-22 04:00:00
3,7.5e-05,7.742e-05,7.3e-05,7.546e-05,1513886400,630081,47.35,2017-12-22 05:00:00
4,7.45e-05,7.55e-05,7.3e-05,7.5e-05,1513890000,1095475,81.2,2017-12-22 06:00:00
5,7.45e-05,7.55e-05,7.227e-05,7.45e-05,1513893600,1036875,77.19,2017-12-22 07:00:00
6,7.655e-05,7.659e-05,7.252e-05,7.45e-05,1513897200,636580,47.77,2017-12-22 08:00:00
7,7.722e-05,7.996e-05,7.5e-05,7.655e-05,1513900800,491667,38.37,2017-12-22 09:00:00
8,7.5e-05,7.996e-05,7.251e-05,7.722e-05,1513904400,1107853,83.59,2017-12-22 10:00:00
9,7.106e-05,7.5e-05,7.106e-05,7.5e-05,1513908000,490990,36.03,2017-12-22 11:00:00
10,7.289e-05,7.338e-05,7.061e-05,7.106e-05,1513911600,591899,42.51,2017-12-22 12:00:00
11,7.379e-05,7.487e-05,7e-05,7.289e-05,1513915200,1965909,141.28,2017-12-22 13:00:00
12,6.8e-05,7.392e-05,6.66e-05,7.379e-05,1513918800,2365481,164.61,2017-12-22 14:00:00
13,6.946e-05,7.2e-05,6.8e-05,6.8e-05,1513922400,2405974,167.4,2017-12-22 15:00:00
14,6.661e-05,7.219e-05,6.504e-05,6.946e-05,1513926000,2281695,156.7,2017-12-22 16:00:00
15,6.8e-05,6.914e-05,6.659e-05,6.661e-05,1513929600,1486726,100.09,2017-12-22 17:00:00
16,6.852e-05,7.072e-05,6.721e-05,6.8e-05,1513933200,798230,54.8,2017-12-22 18:00:00
17,7.199e-05,7.348e-05,6.852e-05,6.852e-05,1513936800,1784404,129.56,2017-12-22 19:00:00
18,7.1e-05,7.348e-05,6.854e-05,7.199e-05,1513940400,1414609,100.93,2017-12-22 20:00:00
19,7.15e-05,7.3e-05,7.06e-05,7.1e-05,1513944000,695616,49.99,2017-12-22 21:00:00
20,7.098e-05,7.299e-05,6.8e-05,7.15e-05,1513947600,899823,62.68,2017-12-22 22:00:00
21,6.438e-05,7.1e-05,6.25e-05,7.098e-05,1513951200,2003532,132.11,2017-12-22 23:00:00
22,6.797e-05,6.797e-05,6.2e-05,6.438e-05,1513954800,1317331,84.8,2017-12-23 00:00:00
23,7.996e-05,7.996e-05,6.7e-05,6.797e-05,1513958400,1159207,83.9,2017-12-23 01:00:00
24,6.928e-05,7.996e-05,6.702e-05,7.996e-05,1513962000,1438675,102.12,2017-12-23 02:00:00
25,7.233e-05,7.392e-05,6.918e-05,6.928e-05,1513965600,705779,50.3,2017-12-23 03:00:00
26,7.148e-05,7.395e-05,7.1e-05,7.233e-05,1513969200,630240,45.79,2017-12-23 04:00:00
27,7.2e-05,7.2e-05,7.06e-05,7.148e-05,1513972800,764574,54.43,2017-12-23 05:00:00
28,7.2e-05,7.275e-05,7.063e-05,7.2e-05,1513976400,480294,34.62,2017-12-23 06:00:00
29,7.3e-05,7.562e-05,7.135e-05,7.2e-05,1513980000,1061668,77.67,2017-12-23 07:00:00
30,7.1e-05,7.495e-05,6.8e-05,7.3e-05,1513983600,1017180,73.04,2017-12-23 08:00:00
31,7.451e-05,7.695e-05,6.822e-05,7.1e-05,1513987200,1316216,96.05,2017-12-23 09:00:00
32,7.3e-05,7.595e-05,7.173e-05,7.451e-05,1513990800,1651072,121.38,2017-12-23 10:00:00
33,7.495e-05,7.495e-05,7.1e-05,7.3e-05,1513994400,940410,68.16,2017-12-23 11:00:00
34,7.408e-05,7.695e-05,7.315e-05,7.495e-05,1513998000,3118704,233.62,2017-12-23 12:00:00
35,7.306e-05,7.408e-05,7.231e-05,7.408e-05,1514001600,1582504,115.8,2017-12-23 13:00:00
36,7.153e-05,7.306e-05,7.151e-05,7.306e-05,1514005200,595896,43.01,2017-12-23 14:00:00
37,7.25e-05,7.29e-05,7.101e-05,7.153e-05,1514008800,729426,52.41,2017-12-23 15:00:00
38,7.59e-05,7.748e-05,7.1e-05,7.25e-05,1514012400,1756148,132.84,2017-12-23 16:00:00
39,7.744e-05,7.799e-05,7.59e-05,7.59e-05,1514016000,297672,23.02,2017-12-23 17:00:00
40,7.509e-05,7.795e-05,7.399e-05,7.744e-05,1514019600,699148,52.66,2017-12-23 18:00:00
41,7.681e-05,7.757e-05,7.45e-05,7.509e-05,1514023200,1397483,105.22,2017-12-23 19:00:00
42,7.7e-05,7.776e-05,7.56e-05,7.681e-05,1514026800,1134614,86.62,2017-12-23 20:00:00
43,7.636e-05,7.769e-05,7.45e-05,7.7e-05,1514030400,1089128,83.33,2017-12-23 21:00:00
44,7.6e-05,7.721e-05,7.505e-05,7.636e-05,1514034000,756426,57.5,2017-12-23 22:00:00
45,8.2e-05,8.45e-05,7.6e-05,7.6e-05,1514037600,1598731,127.42,2017-12-23 23:00:00
46,8.5e-05,8.625e-05,7.95e-05,8.2e-05,1514041200,2691907,224.11,2017-12-24 00:00:00
47,8.446e-05,8.8e-05,8.157e-05,8.5e-05,1514044800,1051224,89.67,2017-12-24 01:00:00
48,8.608e-05,0.0001071,8.446e-05,8.446e-05,1514048400,3194358,303.5,2017-12-24 02:00:00
49,8.999e-05,9.81e-05,8.608e-05,8.608e-05,1514052000,2594170,239.52,2017-12-24 03:00:00
50,9.3e-05,9.4e-05,8.769e-05,8.999e-05,1514055600,832127,76.23,2017-12-24 04:00:00
51,8.98e-05,9.35e-05,8.831e-05,9.3e-05,1514059200,741386,68.0,2017-12-24 05:00:00
52,9.5e-05,9.6e-05,8.4e-05,8.98e-05,1514062800,2229228,200.2,2017-12-24 06:00:00
53,9.092e-05,9.7e-05,9.001e-05,9.5e-05,1514066400,1019943,94.24,2017-12-24 07:00:00
54,8.712e-05,9.28e-05,8.589e-05,9.092e-05,1514070000,1270200,112.34,2017-12-24 08:00:00
