,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.01302,0.0142,0.0125,0.01392,1513875600,8143.71,110.9,2017-12-22 02:00:00
1,0.013,0.01345,0.01264,0.01302,1513879200,1851.06,24.07,2017-12-22 03:00:00
2,0.015,0.015,0.01275,0.013,1513882800,5714.63,79.81,2017-12-22 04:00:00
3,0.0138,0.01505,0.0135,0.015,1513886400,14042.28,201.5,2017-12-22 05:00:00
4,0.01493,0.01535,0.0138,0.0138,1513890000,7111.65,102.28,2017-12-22 06:00:00
5,0.01366,0.01534,0.01366,0.01493,1513893600,3859.82,55.95,2017-12-22 07:00:00
6,0.0145,0.01467,0.01366,0.01366,1513897200,3739.48,52.33,2017-12-22 08:00:00
7,0.01555,0.017,0.01366,0.0145,1513900800,19442.34,298.25,2017-12-22 09:00:00
8,0.0163,0.017,0.01451,0.01555,1513904400,7912.57,126.23,2017-12-22 10:00:00
9,0.01587,0.0175,0.01381,0.0163,1513908000,14846.39,240.8,2017-12-22 11:00:00
10,0.01606,0.01691,0.01475,0.01587,1513911600,8745.41,139.04,2017-12-22 12:00:00
11,0.0165,0.01652,0.01573,0.01606,1513915200,6114.78,98.93,2017-12-22 13:00:00
12,0.01616,0.01702,0.01611,0.0165,1513918800,5494.13,89.82,2017-12-22 14:00:00
13,0.01642,0.01738,0.01611,0.01616,1513922400,6583.41,109.06,2017-12-22 15:00:00
14,0.01589,0.01642,0.01327,0.01642,1513926000,9092.05,134.14,2017-12-22 16:00:00
15,0.015,0.01589,0.0138,0.01589,1513929600,5113.14,75.75,2017-12-22 17:00:00
16,0.0166,0.017,0.015,0.015,1513933200,3250.23,52.67,2017-12-22 18:00:00
17,0.01561,0.017,0.01501,0.0166,1513936800,4147.0,67.16,2017-12-22 19:00:00
18,0.01634,0.01637,0.01561,0.01561,1513940400,998.25,16.13,2017-12-22 20:00:00
19,0.01532,0.01634,0.015,0.01634,1513944000,1319.77,20.57,2017-12-22 21:00:00
20,0.01535,0.01603,0.01491,0.01532,1513947600,2332.66,36.49,2017-12-22 22:00:00
21,0.0159,0.0161,0.0138,0.01535,1513951200,14377.55,220.69,2017-12-22 23:00:00
22,0.01585,0.01637,0.0149,0.0159,1513954800,9124.38,144.55,2017-12-23 00:00:00
23,0.01556,0.017,0.01501,0.01585,1513958400,5562.12,89.52,2017-12-23 01:00:00
24,0.01559,0.01621,0.01556,0.01556,1513962000,2702.37,42.86,2017-12-23 02:00:00
25,0.01568,0.01621,0.01559,0.01559,1513965600,1945.4,30.78,2017-12-23 03:00:00
26,0.01647,0.0165,0.01568,0.01568,1513969200,4227.98,68.58,2017-12-23 04:00:00
27,0.0171,0.01717,0.01575,0.01647,1513972800,2334.37,38.47,2017-12-23 05:00:00
28,0.01798,0.01902,0.01676,0.0171,1513976400,9589.99,170.07,2017-12-23 06:00:00
29,0.01784,0.01875,0.01733,0.01798,1513980000,4911.21,88.73,2017-12-23 07:00:00
30,0.0176,0.01819,0.01659,0.01784,1513983600,3953.18,69.31,2017-12-23 08:00:00
31,0.01599,0.0185,0.01599,0.0176,1513987200,5289.61,90.88,2017-12-23 09:00:00
32,0.01653,0.01742,0.01599,0.01599,1513990800,1309.35,21.86,2017-12-23 10:00:00
33,0.01602,0.01685,0.01575,0.01653,1513994400,2963.46,47.98,2017-12-23 11:00:00
34,0.01598,0.01666,0.01546,0.01602,1513998000,2433.58,38.63,2017-12-23 12:00:00
35,0.01659,0.01666,0.01582,0.01598,1514001600,880.62,14.53,2017-12-23 13:00:00
36,0.01634,0.0168,0.016,0.01659,1514005200,1304.14,21.38,2017-12-23 14:00:00
37,0.01571,0.01634,0.01545,0.01634,1514008800,2114.38,33.18,2017-12-23 15:00:00
38,0.0164,0.01641,0.01545,0.01571,1514012400,3692.62,58.72,2017-12-23 16:00:00
39,0.0158,0.0164,0.01536,0.0164,1514016000,1355.52,21.61,2017-12-23 17:00:00
40,0.01553,0.01596,0.01535,0.0158,1514019600,2036.8,31.76,2017-12-23 18:00:00
41,0.01533,0.01556,0.01515,0.01553,1514023200,1695.24,26.1,2017-12-23 19:00:00
