,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.02934,0.03177,0.02786,0.029,1513875600,1558.87,45.9,2017-12-22 02:00:00
1,0.02828,0.02935,0.02773,0.02934,1513879200,1818.09,51.35,2017-12-22 03:00:00
2,0.02917,0.03114,0.02828,0.02828,1513882800,2889.09,84.42,2017-12-22 04:00:00
3,0.02892,0.0295,0.02892,0.02917,1513886400,1560.75,45.49,2017-12-22 05:00:00
4,0.02893,0.02935,0.0283,0.02892,1513890000,2111.06,61.32,2017-12-22 06:00:00
5,0.03006,0.03114,0.02893,0.02893,1513893600,2074.25,62.62,2017-12-22 07:00:00
6,0.03028,0.0321,0.0288,0.03006,1513897200,4144.9,128.6,2017-12-22 08:00:00
7,0.02943,0.031,0.02856,0.03028,1513900800,1685.73,50.67,2017-12-22 09:00:00
8,0.03,0.0317,0.0285,0.02943,1513904400,2801.31,84.35,2017-12-22 10:00:00
9,0.03063,0.03131,0.02906,0.03,1513908000,2533.17,77.37,2017-12-22 11:00:00
10,0.03001,0.0313,0.02765,0.03063,1513911600,4132.08,120.97,2017-12-22 12:00:00
11,0.0316,0.03195,0.02967,0.03001,1513915200,7986.31,252.05,2017-12-22 13:00:00
12,0.031,0.0325,0.03001,0.0316,1513918800,4140.73,130.49,2017-12-22 14:00:00
13,0.03232,0.03315,0.0309,0.031,1513922400,1270.28,40.32,2017-12-22 15:00:00
14,0.03052,0.0325,0.02801,0.03232,1513926000,9249.93,276.42,2017-12-22 16:00:00
15,0.03,0.03157,0.029,0.03052,1513929600,5276.35,157.47,2017-12-22 17:00:00
16,0.03066,0.03233,0.02962,0.03,1513933200,2247.18,68.56,2017-12-22 18:00:00
17,0.03,0.03066,0.0295,0.03066,1513936800,2093.29,62.3,2017-12-22 19:00:00
18,0.0299,0.03065,0.02801,0.03,1513940400,2811.53,82.52,2017-12-22 20:00:00
19,0.02925,0.0325,0.02881,0.0299,1513944000,7727.6,238.93,2017-12-22 21:00:00
20,0.02979,0.031,0.02545,0.02925,1513947600,9597.07,267.07,2017-12-22 22:00:00
21,0.02872,0.02979,0.02529,0.02979,1513951200,3556.17,97.21,2017-12-22 23:00:00
22,0.02997,0.035,0.028,0.02872,1513954800,6772.96,206.96,2017-12-23 00:00:00
23,0.02932,0.03124,0.02827,0.02997,1513958400,3275.36,98.07,2017-12-23 01:00:00
