,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.3737,0.38,0.37,0.3777,1513875600,2114.0,793.22,2017-12-22 02:00:00
1,0.3723,0.3775,0.3705,0.3737,1513879200,1686.85,628.88,2017-12-22 03:00:00
2,0.3781,0.3799,0.3709,0.3723,1513882800,1343.65,502.01,2017-12-22 04:00:00
3,0.384,0.386,0.378,0.3781,1513886400,1610.64,614.69,2017-12-22 05:00:00
4,0.3857,0.3875,0.38,0.384,1513890000,1549.68,596.33,2017-12-22 06:00:00
5,0.386,0.3899,0.3837,0.3857,1513893600,1778.3,687.68,2017-12-22 07:00:00
6,0.386,0.395,0.385,0.386,1513897200,1637.37,633.42,2017-12-22 08:00:00
7,0.3823,0.3924,0.3822,0.386,1513900800,1442.37,557.78,2017-12-22 09:00:00
8,0.3786,0.3858,0.3785,0.3823,1513904400,1503.06,573.4,2017-12-22 10:00:00
9,0.372,0.3813,0.368,0.3786,1513908000,2351.19,883.49,2017-12-22 11:00:00
10,0.391,0.391,0.368,0.372,1513911600,3229.61,1233.56,2017-12-22 12:00:00
11,0.3841,0.3953,0.383,0.391,1513915200,2489.79,971.7,2017-12-22 13:00:00
12,0.3845,0.39,0.38,0.3841,1513918800,1590.81,612.75,2017-12-22 14:00:00
13,0.3778,0.3929,0.377,0.3845,1513922400,1210.44,463.51,2017-12-22 15:00:00
14,0.374,0.3826,0.3568,0.3778,1513926000,2486.87,922.98,2017-12-22 16:00:00
15,0.3665,0.38,0.36,0.374,1513929600,1389.68,513.61,2017-12-22 17:00:00
16,0.3778,0.39,0.3665,0.3665,1513933200,1700.36,642.69,2017-12-22 18:00:00
17,0.3822,0.3915,0.3775,0.3778,1513936800,1475.31,561.3,2017-12-22 19:00:00
18,0.373,0.3947,0.3709,0.3822,1513940400,1581.47,595.58,2017-12-22 20:00:00
19,0.382,0.3849,0.3615,0.373,1513944000,1040.81,390.45,2017-12-22 21:00:00
20,0.365,0.382,0.3636,0.382,1513947600,1562.72,579.74,2017-12-22 22:00:00
21,0.362,0.369,0.351,0.365,1513951200,2983.53,1074.71,2017-12-22 23:00:00
22,0.384,0.3897,0.3573,0.362,1513954800,2499.14,934.49,2017-12-23 00:00:00
23,0.386,0.3889,0.365,0.384,1513958400,2515.12,946.67,2017-12-23 01:00:00
24,0.3785,0.386,0.3738,0.386,1513962000,1567.12,594.49,2017-12-23 02:00:00
25,0.383,0.388,0.3781,0.3785,1513965600,1846.7,705.07,2017-12-23 03:00:00
26,0.3923,0.395,0.382,0.383,1513969200,1799.75,699.7,2017-12-23 04:00:00
27,0.4046,0.4097,0.3891,0.3923,1513972800,1475.11,587.62,2017-12-23 05:00:00
28,0.4011,0.4095,0.397,0.4046,1513976400,1605.16,647.53,2017-12-23 06:00:00
29,0.3969,0.4055,0.3935,0.4011,1513980000,1451.48,579.29,2017-12-23 07:00:00
30,0.3932,0.3976,0.3847,0.3969,1513983600,1818.33,712.54,2017-12-23 08:00:00
31,0.3863,0.4,0.3836,0.3932,1513987200,1250.52,487.42,2017-12-23 09:00:00
32,0.3836,0.388,0.382,0.3863,1513990800,1007.46,387.75,2017-12-23 10:00:00
33,0.3948,0.3949,0.38,0.3836,1513994400,1063.24,411.52,2017-12-23 11:00:00
34,0.3975,0.4,0.3901,0.3948,1513998000,2071.57,821.02,2017-12-23 12:00:00
35,0.389,0.4,0.387,0.3975,1514001600,1561.61,617.3,2017-12-23 13:00:00
36,0.394,0.3987,0.389,0.389,1514005200,859.74,337.64,2017-12-23 14:00:00
37,0.3898,0.394,0.3851,0.394,1514008800,1116.19,434.73,2017-12-23 15:00:00
38,0.3911,0.3946,0.3866,0.3898,1514012400,793.36,310.83,2017-12-23 16:00:00
39,0.39,0.393,0.3888,0.3911,1514016000,547.17,213.7,2017-12-23 17:00:00
40,0.3859,0.392,0.385,0.39,1514019600,714.52,278.48,2017-12-23 18:00:00
41,0.392,0.3944,0.3851,0.3859,1514023200,1193.86,464.57,2017-12-23 19:00:00
42,0.3987,0.3988,0.3901,0.392,1514026800,645.7,254.7,2017-12-23 20:00:00
43,0.3985,0.399,0.3929,0.3987,1514030400,856.97,340.67,2017-12-23 21:00:00
44,0.3975,0.399,0.3961,0.3985,1514034000,1498.48,595.9,2017-12-23 22:00:00
45,0.4047,0.4047,0.3961,0.3975,1514037600,1509.33,603.33,2017-12-23 23:00:00
46,0.399,0.4068,0.397,0.4047,1514041200,1894.84,765.54,2017-12-24 00:00:00
47,0.4019,0.406,0.397,0.399,1514044800,1144.81,459.65,2017-12-24 01:00:00
48,0.4006,0.403,0.3972,0.4019,1514048400,1181.11,472.64,2017-12-24 02:00:00
49,0.3995,0.404,0.3979,0.4006,1514052000,1135.71,455.78,2017-12-24 03:00:00
50,0.4004,0.401,0.3972,0.3995,1514055600,1135.56,453.38,2017-12-24 04:00:00
51,0.3984,0.4025,0.397,0.4004,1514059200,1405.47,561.44,2017-12-24 05:00:00
52,0.3962,0.4042,0.3939,0.3984,1514062800,1541.04,613.05,2017-12-24 06:00:00
53,0.3966,0.3998,0.3901,0.3962,1514066400,1236.17,489.11,2017-12-24 07:00:00
54,0.398,0.3998,0.3875,0.3966,1514070000,1371.06,540.43,2017-12-24 08:00:00
55,0.3998,0.4019,0.3929,0.398,1514073600,1418.42,564.54,2017-12-24 09:00:00
56,0.394,0.4,0.3924,0.3998,1514077200,968.9,384.6,2017-12-24 10:00:00
57,0.3951,0.398,0.388,0.394,1514080800,1266.42,499.22,2017-12-24 11:00:00
58,0.4,0.4029,0.3925,0.3951,1514084400,1139.78,452.42,2017-12-24 12:00:00
59,0.396,0.4,0.3953,0.4,1514088000,661.59,262.72,2017-12-24 13:00:00
60,0.397,0.398,0.389,0.396,1514091600,753.89,298.11,2017-12-24 14:00:00
