,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.02106,0.02118,0.02024,0.02024,1513875600,736.1,15.35,2017-12-22 02:00:00
1,0.02099,0.02108,0.02051,0.02106,1513879200,1917.21,39.93,2017-12-22 03:00:00
2,0.02133,0.02163,0.02033,0.02099,1513882800,1189.26,24.9,2017-12-22 04:00:00
3,0.0224,0.02299,0.02132,0.02133,1513886400,791.54,17.72,2017-12-22 05:00:00
4,0.02268,0.023,0.02182,0.0224,1513890000,1303.97,29.36,2017-12-22 06:00:00
5,0.02236,0.02268,0.0218,0.02268,1513893600,2147.1,47.28,2017-12-22 07:00:00
6,0.02246,0.02289,0.022,0.02236,1513897200,648.45,14.6,2017-12-22 08:00:00
7,0.02179,0.02286,0.02126,0.02246,1513900800,2898.49,63.4,2017-12-22 09:00:00
8,0.02078,0.02245,0.02078,0.02179,1513904400,3364.13,71.64,2017-12-22 10:00:00
9,0.02056,0.0218,0.02056,0.02078,1513908000,1437.49,30.16,2017-12-22 11:00:00
10,0.02134,0.02134,0.02041,0.02056,1513911600,1775.0,37.06,2017-12-22 12:00:00
11,0.02192,0.022,0.02061,0.02134,1513915200,2204.85,46.93,2017-12-22 13:00:00
12,0.02126,0.02196,0.02071,0.02192,1513918800,3028.09,65.08,2017-12-22 14:00:00
13,0.0217,0.02194,0.02082,0.02126,1513922400,4413.69,93.73,2017-12-22 15:00:00
14,0.0204,0.0217,0.0203,0.0217,1513926000,2810.93,58.62,2017-12-22 16:00:00
15,0.0208,0.02163,0.02027,0.0204,1513929600,1453.05,30.2,2017-12-22 17:00:00
16,0.02067,0.02107,0.02001,0.0208,1513933200,562.33,11.57,2017-12-22 18:00:00
17,0.021,0.02189,0.01982,0.02067,1513936800,978.79,20.39,2017-12-22 19:00:00
18,0.02062,0.02143,0.02009,0.021,1513940400,2400.63,49.78,2017-12-22 20:00:00
19,0.0206,0.02092,0.02013,0.02062,1513944000,1558.94,32.07,2017-12-22 21:00:00
20,0.01945,0.0206,0.0194,0.0206,1513947600,3134.07,61.38,2017-12-22 22:00:00
21,0.01937,0.01988,0.0162,0.01945,1513951200,6816.56,126.69,2017-12-22 23:00:00
22,0.01956,0.01961,0.01828,0.01937,1513954800,1040.1,19.91,2017-12-23 00:00:00
23,0.01995,0.02039,0.0192,0.01956,1513958400,675.82,13.16,2017-12-23 01:00:00
24,0.01966,0.02012,0.01947,0.01995,1513962000,2515.78,49.87,2017-12-23 02:00:00
25,0.0205,0.0205,0.01966,0.01966,1513965600,2696.4,53.85,2017-12-23 03:00:00
26,0.02087,0.02093,0.0203,0.0205,1513969200,450.02,9.26,2017-12-23 04:00:00
27,0.02106,0.02193,0.02027,0.02087,1513972800,1114.76,23.87,2017-12-23 05:00:00
28,0.02111,0.02181,0.02015,0.02106,1513976400,790.65,16.94,2017-12-23 06:00:00
29,0.0206,0.02147,0.02026,0.02111,1513980000,365.06,7.5,2017-12-23 07:00:00
30,0.0204,0.021,0.02026,0.0206,1513983600,1200.65,24.84,2017-12-23 08:00:00
31,0.02058,0.02089,0.02009,0.0204,1513987200,759.22,15.53,2017-12-23 09:00:00
32,0.0204,0.02075,0.02018,0.02058,1513990800,161.26,3.28,2017-12-23 10:00:00
33,0.0211,0.022,0.0202,0.0204,1513994400,2352.17,49.16,2017-12-23 11:00:00
34,0.02189,0.02233,0.02083,0.0211,1513998000,433.94,9.42,2017-12-23 12:00:00
35,0.02185,0.02235,0.02177,0.02189,1514001600,1100.56,24.21,2017-12-23 13:00:00
36,0.02236,0.02286,0.02177,0.02185,1514005200,2933.11,65.39,2017-12-23 14:00:00
37,0.0214,0.02236,0.0207,0.02236,1514008800,2008.41,43.29,2017-12-23 15:00:00
38,0.02052,0.02211,0.0203,0.0214,1514012400,2367.02,51.33,2017-12-23 16:00:00
39,0.0209,0.0211,0.02052,0.02052,1514016000,909.59,18.98,2017-12-23 17:00:00
40,0.02072,0.0217,0.02052,0.0209,1514019600,928.95,19.3,2017-12-23 18:00:00
41,0.02133,0.02133,0.02065,0.02072,1514023200,998.63,21.0,2017-12-23 19:00:00
42,0.022,0.022,0.0211,0.02133,1514026800,2013.5,44.15,2017-12-23 20:00:00
43,0.02251,0.02318,0.02163,0.022,1514030400,4483.92,100.82,2017-12-23 21:00:00
44,0.02285,0.0234,0.02226,0.02251,1514034000,1221.22,28.05,2017-12-23 22:00:00
45,0.02297,0.02348,0.02255,0.02285,1514037600,3471.82,79.48,2017-12-23 23:00:00
46,0.0228,0.02369,0.0227,0.02297,1514041200,4695.99,109.14,2017-12-24 00:00:00
47,0.0234,0.02389,0.02257,0.0228,1514044800,1978.23,46.1,2017-12-24 01:00:00
48,0.02595,0.02674,0.0234,0.0234,1514048400,8313.2,209.85,2017-12-24 02:00:00
49,0.02538,0.0265,0.02404,0.02595,1514052000,3867.13,98.28,2017-12-24 03:00:00
