,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.000231,0.0002342,0.0002176,0.0002176,1513875600,92226,21.24,2017-12-22 02:00:00
1,0.0002401,0.0002401,0.0002219,0.000231,1513879200,63001,14.48,2017-12-22 03:00:00
2,0.0002252,0.0002401,0.0002245,0.0002401,1513882800,25086,5.69,2017-12-22 04:00:00
3,0.0002365,0.000237,0.0002245,0.0002252,1513886400,63918,14.76,2017-12-22 05:00:00
4,0.000234,0.000237,0.000228,0.0002365,1513890000,44084,10.22,2017-12-22 06:00:00
5,0.000217,0.000237,0.000215,0.000234,1513893600,94669,21.7,2017-12-22 07:00:00
6,0.0002305,0.0002305,0.000217,0.000217,1513897200,42621,9.51,2017-12-22 08:00:00
7,0.0002303,0.00024,0.0002282,0.0002305,1513900800,40288,9.38,2017-12-22 09:00:00
8,0.0002251,0.0002361,0.0002246,0.0002303,1513904400,126034,28.68,2017-12-22 10:00:00
9,0.000215,0.0002279,0.000213,0.0002251,1513908000,119333,26.4,2017-12-22 11:00:00
10,0.0002004,0.000217,0.000198,0.000215,1513911600,211828,43.54,2017-12-22 12:00:00
11,0.0002048,0.0002088,0.0001965,0.0002004,1513915200,98375,19.62,2017-12-22 13:00:00
12,0.0002048,0.0002048,0.0001972,0.0002048,1513918800,124249,25.11,2017-12-22 14:00:00
13,0.0002047,0.0002048,0.0002017,0.0002048,1513922400,26392,5.37,2017-12-22 15:00:00
14,0.000195,0.0002077,0.000195,0.0002047,1513926000,161860,32.61,2017-12-22 16:00:00
15,0.0002075,0.0002075,0.000195,0.000195,1513929600,134759,27.41,2017-12-22 17:00:00
16,0.0002038,0.0002075,0.0002,0.0002075,1513933200,77693,15.68,2017-12-22 18:00:00
17,0.0002002,0.0002046,0.0002002,0.0002038,1513936800,96287,19.47,2017-12-22 19:00:00
18,0.0001995,0.0002046,0.000195,0.0002002,1513940400,103729,20.59,2017-12-22 20:00:00
19,0.0002,0.0002046,0.0001976,0.0001995,1513944000,71897,14.58,2017-12-22 21:00:00
20,0.000194,0.000207,0.000194,0.0002,1513947600,148639,29.9,2017-12-22 22:00:00
21,0.0001854,0.000194,0.0001739,0.000194,1513951200,281511,52.37,2017-12-22 23:00:00
22,0.0001868,0.0001981,0.00018,0.0001854,1513954800,176160,33.48,2017-12-23 00:00:00
23,0.000199,0.0002002,0.0001851,0.0001868,1513958400,76305,14.72,2017-12-23 01:00:00
24,0.0002095,0.000214,0.000199,0.000199,1513962000,209140,43.16,2017-12-23 02:00:00
25,0.0002066,0.0002116,0.0002017,0.0002095,1513965600,76709,15.83,2017-12-23 03:00:00
26,0.0002048,0.0002116,0.0002039,0.0002066,1513969200,25840,5.35,2017-12-23 04:00:00
27,0.0002071,0.0002159,0.0002048,0.0002048,1513972800,37114,7.81,2017-12-23 05:00:00
28,0.0002177,0.00022,0.0002071,0.0002071,1513976400,67312,14.48,2017-12-23 06:00:00
29,0.0002279,0.00023,0.0002176,0.0002177,1513980000,100996,22.8,2017-12-23 07:00:00
30,0.0002126,0.00023,0.0002126,0.0002279,1513983600,99210,21.5,2017-12-23 08:00:00
31,0.0002092,0.0002177,0.0002045,0.0002126,1513987200,83357,17.65,2017-12-23 09:00:00
32,0.0002136,0.0002213,0.0002,0.0002092,1513990800,239278,49.94,2017-12-23 10:00:00
33,0.0002173,0.0002174,0.0002032,0.0002136,1513994400,78841,16.76,2017-12-23 11:00:00
34,0.0002205,0.0002205,0.0002113,0.0002173,1513998000,142732,30.81,2017-12-23 12:00:00
35,0.0002231,0.000226,0.0002181,0.0002205,1514001600,85589,18.93,2017-12-23 13:00:00
36,0.000244,0.000246,0.0002231,0.0002231,1514005200,195998,46.68,2017-12-23 14:00:00
37,0.000262,0.000262,0.00024,0.000244,1514008800,347010,86.76,2017-12-23 15:00:00
38,0.000278,0.000278,0.0002457,0.000262,1514012400,443684,117.76,2017-12-23 16:00:00
39,0.0002739,0.00028,0.0002675,0.000278,1514016000,353161,97.77,2017-12-23 17:00:00
40,0.000296,0.000297,0.0002739,0.0002739,1514019600,584609,168.97,2017-12-23 18:00:00
41,0.000301,0.0003011,0.0002845,0.000296,1514023200,921125,275.06,2017-12-23 19:00:00
42,0.0002813,0.0003011,0.0002703,0.000301,1514026800,274506,77.89,2017-12-23 20:00:00
43,0.000287,0.00029,0.0002711,0.0002813,1514030400,255178,72.73,2017-12-23 21:00:00
44,0.0003015,0.0003097,0.000285,0.000287,1514034000,271170,79.91,2017-12-23 22:00:00
45,0.0002904,0.000324,0.000285,0.0003015,1514037600,1075316,326.33,2017-12-23 23:00:00
46,0.0003001,0.0003001,0.0002806,0.0002904,1514041200,514411,148.81,2017-12-24 00:00:00
47,0.0002853,0.00031,0.000285,0.0003001,1514044800,177281,53.6,2017-12-24 01:00:00
48,0.0002904,0.0003018,0.0002821,0.0002853,1514048400,148846,43.5,2017-12-24 02:00:00
49,0.000299,0.000308,0.0002815,0.0002904,1514052000,234668,68.88,2017-12-24 03:00:00
50,0.000296,0.000308,0.0002864,0.000299,1514055600,81772,24.37,2017-12-24 04:00:00
51,0.0003001,0.0003032,0.0002915,0.000296,1514059200,59562,17.92,2017-12-24 05:00:00
52,0.0003,0.000302,0.000296,0.0003001,1514062800,119024,35.81,2017-12-24 06:00:00
53,0.000301,0.000302,0.0002915,0.0003,1514066400,105115,31.36,2017-12-24 07:00:00
54,0.00028,0.000302,0.000272,0.000301,1514070000,236956,67.29,2017-12-24 08:00:00
55,0.000289,0.0002981,0.0002696,0.00028,1514073600,106088,29.66,2017-12-24 09:00:00
56,0.0002856,0.000292,0.0002701,0.000289,1514077200,173753,49.07,2017-12-24 10:00:00
57,0.0003,0.0003,0.000285,0.0002856,1514080800,260873,76.59,2017-12-24 11:00:00
58,0.0003098,0.0003098,0.0002853,0.0003,1514084400,231365,69.47,2017-12-24 12:00:00
59,0.0003185,0.0003185,0.0003041,0.0003098,1514088000,268962,82.88,2017-12-24 13:00:00
60,0.0003301,0.000349,0.00031,0.0003185,1514091600,1488564,503.38,2017-12-24 14:00:00
61,0.0003316,0.00035,0.000325,0.0003301,1514095200,393878,133.29,2017-12-24 15:00:00
62,0.00035,0.000354,0.0003312,0.0003316,1514098800,237316,81.95,2017-12-24 16:00:00
63,0.0003398,0.000356,0.0003349,0.00035,1514102400,286808,98.85,2017-12-24 17:00:00
64,0.0003277,0.000341,0.00032,0.0003398,1514106000,224706,74.22,2017-12-24 18:00:00
65,0.0003175,0.00033,0.00031,0.0003277,1514109600,239422,77.24,2017-12-24 19:00:00
66,0.0003202,0.000327,0.0003146,0.0003175,1514113200,141937,45.11,2017-12-24 20:00:00
67,0.0003306,0.0003337,0.0003172,0.0003202,1514116800,126608,41.31,2017-12-24 21:00:00
68,0.0003422,0.0003462,0.0003296,0.0003306,1514120400,267667,90.92,2017-12-24 22:00:00
69,0.0003249,0.0003422,0.000318,0.0003422,1514124000,116332,38.25,2017-12-24 23:00:00
70,0.0003211,0.000332,0.0003157,0.0003249,1514127600,287379,92.87,2017-12-25 00:00:00
71,0.0003175,0.000332,0.000315,0.0003211,1514131200,61288,19.64,2017-12-25 01:00:00
72,0.0003111,0.0003197,0.0003111,0.0003175,1514134800,111323,34.89,2017-12-25 02:00:00
73,0.0003101,0.0003271,0.000305,0.0003111,1514138400,92587,28.65,2017-12-25 03:00:00
74,0.0003079,0.0003101,0.0003013,0.0003101,1514142000,16576,5.06,2017-12-25 04:00:00
75,0.0003054,0.0003106,0.0003013,0.0003079,1514145600,25506,7.77,2017-12-25 05:00:00
76,0.000304,0.0003054,0.0003,0.0003054,1514149200,24182,7.32,2017-12-25 06:00:00
77,0.0003071,0.0003071,0.0003001,0.000304,1514152800,38814,11.83,2017-12-25 07:00:00
78,0.0003088,0.0003107,0.0003033,0.0003071,1514156400,53621,16.39,2017-12-25 08:00:00
79,0.0002997,0.0003088,0.0002997,0.0003088,1514160000,108084,32.57,2017-12-25 09:00:00
80,0.0002937,0.0002999,0.0002901,0.0002997,1514163600,87170,25.62,2017-12-25 10:00:00
81,0.000284,0.0003033,0.00028,0.0002937,1514167200,186835,55.0,2017-12-25 11:00:00
82,0.0002727,0.0002911,0.0002717,0.000284,1514170800,113926,31.65,2017-12-25 12:00:00
83,0.0002636,0.0002759,0.0002605,0.0002727,1514174400,101650,27.15,2017-12-25 13:00:00
84,0.0002747,0.0002779,0.0002636,0.0002636,1514178000,100270,27.01,2017-12-25 14:00:00
85,0.000272,0.0002751,0.0002648,0.0002747,1514181600,84663,22.85,2017-12-25 15:00:00
86,0.000278,0.00028,0.000272,0.000272,1514185200,36623,10.2,2017-12-25 16:00:00
87,0.0002711,0.000279,0.0002652,0.000278,1514188800,174906,47.23,2017-12-25 17:00:00
88,0.0002691,0.0002799,0.0002651,0.0002711,1514192400,64392,17.35,2017-12-25 18:00:00
89,0.0002684,0.0002796,0.0002667,0.0002691,1514196000,53993,14.49,2017-12-25 19:00:00
90,0.0002742,0.0002759,0.0002668,0.0002684,1514199600,61343,16.72,2017-12-25 20:00:00
