,close,high,low,open,time,volumefrom,volumeto,timestamp
0,5.222e-05,5.5e-05,4.888e-05,4.888e-05,1513875600,6387110,332.06,2017-12-22 02:00:00
1,4.957e-05,5.24e-05,4.752e-05,5.222e-05,1513879200,2222121,110.78,2017-12-22 03:00:00
2,4.928e-05,4.957e-05,4.76e-05,4.957e-05,1513882800,1231219,60.18,2017-12-22 04:00:00
3,4.86e-05,4.957e-05,4.85e-05,4.928e-05,1513886400,1495287,73.09,2017-12-22 05:00:00
4,4.985e-05,5.24e-05,4.752e-05,4.86e-05,1513890000,2606912,130.75,2017-12-22 06:00:00
5,4.961e-05,5.015e-05,4.901e-05,4.985e-05,1513893600,1443069,71.79,2017-12-22 07:00:00
6,5.177e-05,5.466e-05,4.875e-05,4.961e-05,1513897200,3965986,201.35,2017-12-22 08:00:00
7,5.899e-05,6e-05,5.108e-05,5.177e-05,1513900800,6135406,338.26,2017-12-22 09:00:00
8,5.162e-05,5.999e-05,5.09e-05,5.899e-05,1513904400,7329537,402.41,2017-12-22 10:00:00
9,4.52e-05,5.162e-05,4.45e-05,5.162e-05,1513908000,6305704,301.04,2017-12-22 11:00:00
10,4.859e-05,4.887e-05,4.407e-05,4.52e-05,1513911600,4227261,195.65,2017-12-22 12:00:00
11,5.039e-05,5.1e-05,4.701e-05,4.859e-05,1513915200,5793457,286.39,2017-12-22 13:00:00
12,4.808e-05,5.045e-05,4.774e-05,5.039e-05,1513918800,1831625,88.9,2017-12-22 14:00:00
13,4.805e-05,4.906e-05,4.722e-05,4.808e-05,1513922400,1341795,64.64,2017-12-22 15:00:00
14,4.7e-05,4.866e-05,4.4e-05,4.805e-05,1513926000,3463057,158.01,2017-12-22 16:00:00
15,4.899e-05,4.983e-05,4.408e-05,4.7e-05,1513929600,3633011,173.87,2017-12-22 17:00:00
16,4.948e-05,4.982e-05,4.762e-05,4.899e-05,1513933200,1406322,68.91,2017-12-22 18:00:00
17,4.647e-05,5.098e-05,4.606e-05,4.948e-05,1513936800,564817,27.33,2017-12-22 19:00:00
18,4.7e-05,4.811e-05,4.596e-05,4.647e-05,1513940400,1500215,69.67,2017-12-22 20:00:00
19,4.56e-05,4.72e-05,4.448e-05,4.7e-05,1513944000,1451839,67.0,2017-12-22 21:00:00
20,3.947e-05,4.609e-05,3.5e-05,4.56e-05,1513947600,12159501,472.91,2017-12-22 22:00:00
21,3.95e-05,4.22e-05,3.607e-05,3.947e-05,1513951200,4110399,157.08,2017-12-22 23:00:00
22,4.15e-05,4.469e-05,3.801e-05,3.95e-05,1513954800,3900920,160.23,2017-12-23 00:00:00
23,4.25e-05,4.498e-05,4e-05,4.15e-05,1513958400,1896250,80.28,2017-12-23 01:00:00
24,4.25e-05,4.33e-05,4.1e-05,4.25e-05,1513962000,1306114,54.25,2017-12-23 02:00:00
25,4.456e-05,4.75e-05,4.25e-05,4.25e-05,1513965600,1470492,66.4,2017-12-23 03:00:00
26,4.863e-05,4.896e-05,4.456e-05,4.456e-05,1513969200,968881,45.94,2017-12-23 04:00:00
27,4.84e-05,4.948e-05,4.751e-05,4.863e-05,1513972800,1702073,82.16,2017-12-23 05:00:00
28,4.943e-05,4.95e-05,4.751e-05,4.84e-05,1513976400,1109134,53.72,2017-12-23 06:00:00
29,4.663e-05,4.947e-05,4.65e-05,4.943e-05,1513980000,1159580,55.37,2017-12-23 07:00:00
30,4.431e-05,4.777e-05,4.3e-05,4.663e-05,1513983600,2302605,106.93,2017-12-23 08:00:00
31,4.478e-05,4.55e-05,4.301e-05,4.431e-05,1513987200,2224194,99.1,2017-12-23 09:00:00
32,4.41e-05,4.478e-05,4.3e-05,4.478e-05,1513990800,2797234,122.36,2017-12-23 10:00:00
33,4.462e-05,4.575e-05,4.31e-05,4.41e-05,1513994400,1628507,72.23,2017-12-23 11:00:00
34,4.303e-05,4.47e-05,4.28e-05,4.462e-05,1513998000,1446908,63.17,2017-12-23 12:00:00
35,4.55e-05,4.59e-05,4.303e-05,4.303e-05,1514001600,1410583,62.9,2017-12-23 13:00:00
36,4.401e-05,4.686e-05,4.385e-05,4.55e-05,1514005200,1642890,73.64,2017-12-23 14:00:00
37,4.38e-05,4.404e-05,4.28e-05,4.401e-05,1514008800,1777862,77.41,2017-12-23 15:00:00
38,4.417e-05,4.599e-05,4.287e-05,4.38e-05,1514012400,1092834,48.09,2017-12-23 16:00:00
39,4.699e-05,4.79e-05,4.355e-05,4.417e-05,1514016000,2726385,123.43,2017-12-23 17:00:00
40,4.698e-05,4.769e-05,4.55e-05,4.699e-05,1514019600,1317236,61.4,2017-12-23 18:00:00
41,5.561e-05,5.698e-05,4.698e-05,4.698e-05,1514023200,6763759,355.44,2017-12-23 19:00:00
42,4.975e-05,5.565e-05,4.965e-05,5.561e-05,1514026800,3378799,178.85,2017-12-23 20:00:00
43,5.052e-05,5.423e-05,4.965e-05,4.975e-05,1514030400,2046565,104.84,2017-12-23 21:00:00
44,4.98e-05,5.162e-05,4.805e-05,5.052e-05,1514034000,1458846,73.19,2017-12-23 22:00:00
45,5.09e-05,5.1e-05,4.822e-05,4.98e-05,1514037600,1949788,96.9,2017-12-23 23:00:00
46,4.865e-05,5.09e-05,4.858e-05,5.09e-05,1514041200,3624340,179.05,2017-12-24 00:00:00
47,5.2e-05,5.398e-05,4.82e-05,4.865e-05,1514044800,4046024,205.98,2017-12-24 01:00:00
48,5e-05,5.26e-05,4.888e-05,5.2e-05,1514048400,1533539,77.72,2017-12-24 02:00:00
49,5.175e-05,5.26e-05,4.958e-05,5e-05,1514052000,1218846,62.0,2017-12-24 03:00:00
50,5.206e-05,5.24e-05,5.05e-05,5.175e-05,1514055600,1192307,61.27,2017-12-24 04:00:00
51,5.06e-05,5.24e-05,5.05e-05,5.206e-05,1514059200,938049,48.09,2017-12-24 05:00:00
52,5.121e-05,5.139e-05,4.851e-05,5.06e-05,1514062800,1669683,83.95,2017-12-24 06:00:00
53,5.302e-05,5.349e-05,5.068e-05,5.121e-05,1514066400,1411250,74.09,2017-12-24 07:00:00
54,4.94e-05,5.303e-05,4.865e-05,5.302e-05,1514070000,1664087,84.95,2017-12-24 08:00:00
55,4.966e-05,5.058e-05,4.72e-05,4.94e-05,1514073600,1530908,74.94,2017-12-24 09:00:00
56,5e-05,5.031e-05,4.773e-05,4.966e-05,1514077200,2351576,116.9,2017-12-24 10:00:00
57,4.66e-05,5e-05,4.65e-05,5e-05,1514080800,3126960,148.35,2017-12-24 11:00:00
58,4.875e-05,4.958e-05,4.618e-05,4.66e-05,1514084400,1918634,91.85,2017-12-24 12:00:00
59,4.693e-05,4.876e-05,4.688e-05,4.875e-05,1514088000,1625033,77.7,2017-12-24 13:00:00
60,4.784e-05,4.859e-05,4.692e-05,4.693e-05,1514091600,1155930,55.18,2017-12-24 14:00:00
61,4.966e-05,4.97e-05,4.771e-05,4.784e-05,1514095200,884495,43.39,2017-12-24 15:00:00
62,4.944e-05,4.966e-05,4.806e-05,4.966e-05,1514098800,1079617,52.88,2017-12-24 16:00:00
63,4.85e-05,4.944e-05,4.84e-05,4.944e-05,1514102400,1261771,61.62,2017-12-24 17:00:00
64,4.812e-05,4.85e-05,4.8e-05,4.85e-05,1514106000,1092303,52.7,2017-12-24 18:00:00
65,4.8e-05,4.821e-05,4.654e-05,4.812e-05,1514109600,841019,40.08,2017-12-24 19:00:00
66,4.65e-05,4.943e-05,4.65e-05,4.8e-05,1514113200,923391,43.78,2017-12-24 20:00:00
67,4.721e-05,4.815e-05,4.62e-05,4.65e-05,1514116800,1287256,60.79,2017-12-24 21:00:00
68,4.669e-05,4.815e-05,4.5e-05,4.721e-05,1514120400,725891,34.11,2017-12-24 22:00:00
69,4.622e-05,4.797e-05,4.6e-05,4.669e-05,1514124000,733003,34.17,2017-12-24 23:00:00
70,4.691e-05,4.797e-05,4.62e-05,4.622e-05,1514127600,1080599,50.29,2017-12-25 00:00:00
71,4.733e-05,4.88e-05,4.67e-05,4.691e-05,1514131200,626139,29.76,2017-12-25 01:00:00
72,4.685e-05,4.733e-05,4.5e-05,4.733e-05,1514134800,1272237,58.98,2017-12-25 02:00:00
73,4.8e-05,4.8e-05,4.5e-05,4.685e-05,1514138400,721098,33.21,2017-12-25 03:00:00
74,4.67e-05,4.833e-05,4.603e-05,4.8e-05,1514142000,592743,27.78,2017-12-25 04:00:00
75,4.75e-05,4.75e-05,4.502e-05,4.67e-05,1514145600,1125126,51.96,2017-12-25 05:00:00
76,4.597e-05,4.75e-05,4.557e-05,4.75e-05,1514149200,396618,18.34,2017-12-25 06:00:00
77,4.649e-05,4.696e-05,4.58e-05,4.597e-05,1514152800,360370,16.7,2017-12-25 07:00:00
78,4.627e-05,4.681e-05,4.602e-05,4.649e-05,1514156400,721251,33.3,2017-12-25 08:00:00
79,4.854e-05,4.953e-05,4.602e-05,4.627e-05,1514160000,2436399,117.13,2017-12-25 09:00:00
80,4.56e-05,4.936e-05,4.55e-05,4.854e-05,1514163600,1676894,78.22,2017-12-25 10:00:00
81,4.4e-05,4.63e-05,4.372e-05,4.56e-05,1514167200,2033792,91.9,2017-12-25 11:00:00
82,4.435e-05,4.484e-05,4.394e-05,4.4e-05,1514170800,874304,38.66,2017-12-25 12:00:00
83,4.407e-05,4.463e-05,4.331e-05,4.435e-05,1514174400,1039115,45.74,2017-12-25 13:00:00
84,4.445e-05,4.49e-05,4.4e-05,4.407e-05,1514178000,780278,34.75,2017-12-25 14:00:00
85,4.417e-05,4.49e-05,4.381e-05,4.445e-05,1514181600,1908833,84.83,2017-12-25 15:00:00
86,4.455e-05,4.487e-05,4.351e-05,4.417e-05,1514185200,1048341,46.58,2017-12-25 16:00:00
87,4.396e-05,4.46e-05,4.38e-05,4.455e-05,1514188800,856291,37.82,2017-12-25 17:00:00
88,4.364e-05,4.445e-05,4.3e-05,4.396e-05,1514192400,1072594,46.74,2017-12-25 18:00:00
89,4.484e-05,4.49e-05,4.305e-05,4.364e-05,1514196000,1277841,56.28,2017-12-25 19:00:00
90,4.315e-05,4.484e-05,4.301e-05,4.484e-05,1514199600,1378049,60.87,2017-12-25 20:00:00
91,4.443e-05,4.506e-05,4.314e-05,4.315e-05,1514203200,1365021,60.54,2017-12-25 21:00:00
92,4.405e-05,4.455e-05,4.353e-05,4.443e-05,1514206800,771219,33.85,2017-12-25 22:00:00
93,4.36e-05,4.505e-05,4.296e-05,4.405e-05,1514210400,1419992,61.71,2017-12-25 23:00:00
94,4.486e-05,4.537e-05,4.32e-05,4.36e-05,1514214000,1479422,66.1,2017-12-26 00:00:00
95,4.472e-05,4.537e-05,4.404e-05,4.486e-05,1514217600,1269288,56.51,2017-12-26 01:00:00
96,4.354e-05,4.535e-05,4.353e-05,4.472e-05,1514221200,633112,27.99,2017-12-26 02:00:00
97,4.439e-05,4.636e-05,4.34e-05,4.354e-05,1514224800,695318,30.68,2017-12-26 03:00:00
98,4.456e-05,4.6e-05,4.429e-05,4.439e-05,1514228400,599465,27.15,2017-12-26 04:00:00
99,4.609e-05,4.685e-05,4.456e-05,4.456e-05,1514232000,1247229,57.61,2017-12-26 05:00:00
100,4.517e-05,4.667e-05,4.44e-05,4.609e-05,1514235600,288583,13.1,2017-12-26 06:00:00
101,4.26e-05,4.654e-05,4.24e-05,4.517e-05,1514239200,1241738,55.16,2017-12-26 07:00:00
102,4.24e-05,4.577e-05,4.24e-05,4.26e-05,1514242800,1209513,53.46,2017-12-26 08:00:00
103,4.294e-05,4.406e-05,4.24e-05,4.24e-05,1514246400,1450710,62.67,2017-12-26 09:00:00
104,4.383e-05,4.489e-05,4.26e-05,4.294e-05,1514250000,1438880,62.52,2017-12-26 10:00:00
105,4.28e-05,4.393e-05,4.231e-05,4.383e-05,1514253600,885418,38.01,2017-12-26 11:00:00
106,4.251e-05,4.297e-05,4.209e-05,4.28e-05,1514257200,1957876,82.92,2017-12-26 12:00:00
107,4.117e-05,4.297e-05,4.049e-05,4.251e-05,1514260800,3262850,135.71,2017-12-26 13:00:00
108,4.06e-05,4.272e-05,3.929e-05,4.117e-05,1514264400,2638255,106.99,2017-12-26 14:00:00
109,3.951e-05,4.134e-05,3.903e-05,4.06e-05,1514268000,1079487,43.79,2017-12-26 15:00:00
110,3.92e-05,4.033e-05,3.901e-05,3.951e-05,1514271600,726521,28.58,2017-12-26 16:00:00
111,4.067e-05,4.135e-05,3.886e-05,3.92e-05,1514275200,1020426,40.44,2017-12-26 17:00:00
