,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.03159,0.03238,0.03147,0.03212,1524614400,10924.67,347.74,2018-04-25 09:00:00
1,0.03183,0.0322,0.03147,0.03159,1524618000,14730.29,467.52,2018-04-25 10:00:00
2,0.03148,0.03196,0.03135,0.03183,1524621600,6076.09,192.96,2018-04-25 11:00:00
3,0.0309,0.03164,0.03066,0.03148,1524625200,9065.15,281.94,2018-04-25 12:00:00
4,0.03091,0.03122,0.03061,0.0309,1524628800,13505.56,416.7,2018-04-25 13:00:00
5,0.03122,0.03133,0.03061,0.03091,1524632400,7634.69,236.46,2018-04-25 14:00:00
6,0.03154,0.03165,0.03118,0.03122,1524636000,4144.97,130.27,2018-04-25 15:00:00
7,0.0314,0.03197,0.0314,0.03154,1524639600,4525.56,143.43,2018-04-25 16:00:00
8,0.03152,0.03177,0.03132,0.0314,1524643200,2703.53,85.22,2018-04-25 17:00:00
9,0.03132,0.03155,0.03127,0.03152,1524646800,3338.19,104.94,2018-04-25 18:00:00
10,0.03099,0.03144,0.0304,0.03132,1524650400,17998.99,553.3,2018-04-25 19:00:00
11,0.0312,0.03137,0.03057,0.03099,1524654000,11779.8,364.05,2018-04-25 20:00:00
12,0.03109,0.0313,0.0309,0.0312,1524657600,4111.86,127.9,2018-04-25 21:00:00
13,0.0308,0.03109,0.03061,0.03109,1524661200,3084.75,95.03,2018-04-25 22:00:00
14,0.03062,0.03093,0.03037,0.0308,1524664800,9776.56,299.56,2018-04-25 23:00:00
15,0.03107,0.0311,0.03062,0.03062,1524668400,6608.53,203.9,2018-04-26 00:00:00
16,0.03079,0.03107,0.03068,0.03107,1524672000,1910.51,58.86,2018-04-26 01:00:00
17,0.0311,0.03111,0.03065,0.03079,1524675600,3883.06,119.77,2018-04-26 02:00:00
18,0.03098,0.03121,0.03089,0.0311,1524679200,1964.2,61.0,2018-04-26 03:00:00
19,0.03108,0.03118,0.03085,0.03098,1524682800,754.26,23.38,2018-04-26 04:00:00
20,0.03099,0.03129,0.03094,0.03108,1524686400,1865.65,58.01,2018-04-26 05:00:00
21,0.03123,0.03129,0.0309,0.03099,1524690000,2842.76,88.45,2018-04-26 06:00:00
