,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.01548,0.01548,0.015,0.01548,1513875600,2223.88,34.17,2017-12-22 02:00:00
1,0.01532,0.0159,0.01503,0.01548,1513879200,1390.0,21.46,2017-12-22 03:00:00
2,0.016,0.01607,0.015,0.01532,1513882800,1616.72,25.07,2017-12-22 04:00:00
3,0.01633,0.0168,0.01577,0.016,1513886400,2463.54,40.45,2017-12-22 05:00:00
4,0.0167,0.01713,0.016,0.01633,1513890000,2150.83,35.7,2017-12-22 06:00:00
5,0.016,0.01725,0.016,0.0167,1513893600,2624.49,43.25,2017-12-22 07:00:00
6,0.01617,0.017,0.016,0.016,1513897200,2675.39,43.87,2017-12-22 08:00:00
7,0.01581,0.01679,0.01563,0.01617,1513900800,6492.03,103.14,2017-12-22 09:00:00
8,0.0155,0.01632,0.01518,0.01581,1513904400,4205.42,65.57,2017-12-22 10:00:00
9,0.01539,0.01633,0.01525,0.0155,1513908000,1531.4,23.99,2017-12-22 11:00:00
10,0.01506,0.0162,0.01506,0.01539,1513911600,2510.23,38.74,2017-12-22 12:00:00
11,0.01585,0.01593,0.01506,0.01506,1513915200,2120.34,32.99,2017-12-22 13:00:00
12,0.01536,0.01585,0.01513,0.01585,1513918800,1184.02,18.25,2017-12-22 14:00:00
13,0.01515,0.01536,0.01485,0.01536,1513922400,1190.55,17.92,2017-12-22 15:00:00
14,0.01446,0.01515,0.01374,0.01515,1513926000,7706.4,109.84,2017-12-22 16:00:00
15,0.01476,0.01508,0.01446,0.01446,1513929600,1276.35,18.74,2017-12-22 17:00:00
16,0.01474,0.01511,0.01401,0.01476,1513933200,2564.69,38.06,2017-12-22 18:00:00
17,0.01454,0.01491,0.0141,0.01474,1513936800,1818.21,26.55,2017-12-22 19:00:00
18,0.01474,0.01489,0.01418,0.01454,1513940400,1015.49,14.85,2017-12-22 20:00:00
19,0.01447,0.0149,0.01437,0.01474,1513944000,2110.46,30.72,2017-12-22 21:00:00
20,0.0142,0.0149,0.01371,0.01447,1513947600,4505.18,64.8,2017-12-22 22:00:00
21,0.01438,0.0149,0.01396,0.0142,1513951200,4202.48,59.74,2017-12-22 23:00:00
22,0.01484,0.0153,0.01358,0.01438,1513954800,2640.4,38.38,2017-12-23 00:00:00
23,0.01501,0.01532,0.0147,0.01484,1513958400,1655.85,24.81,2017-12-23 01:00:00
24,0.01527,0.0156,0.01478,0.01501,1513962000,1829.94,27.93,2017-12-23 02:00:00
25,0.01566,0.01568,0.01481,0.01527,1513965600,930.05,14.17,2017-12-23 03:00:00
26,0.016,0.016,0.01527,0.01566,1513969200,2654.49,41.37,2017-12-23 04:00:00
