,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.00085,0.0008598,0.0007909,0.000826,1513875600,104721,86.64,2017-12-22 02:00:00
1,0.000868,0.0008688,0.0008464,0.00085,1513879200,131813,113.31,2017-12-22 03:00:00
2,0.000846,0.000868,0.0008218,0.000868,1513882800,98180,82.29,2017-12-22 04:00:00
3,0.000865,0.0008679,0.0008454,0.000846,1513886400,76111,65.45,2017-12-22 05:00:00
4,0.0008251,0.0008683,0.00081,0.000865,1513890000,105663,89.06,2017-12-22 06:00:00
5,0.00084,0.0008505,0.0008101,0.0008251,1513893600,81010,67.35,2017-12-22 07:00:00
6,0.00088,0.00089,0.0008319,0.00084,1513897200,106792,92.33,2017-12-22 08:00:00
7,0.000905,0.0009303,0.0008674,0.00088,1513900800,127669,115.27,2017-12-22 09:00:00
8,0.0008612,0.0009278,0.0008612,0.000905,1513904400,95350,85.58,2017-12-22 10:00:00
9,0.0008617,0.0009075,0.000828,0.0008612,1513908000,91117,78.12,2017-12-22 11:00:00
10,0.0007543,0.000875,0.0007543,0.0008617,1513911600,227296,184.41,2017-12-22 12:00:00
11,0.000833,0.0008621,0.00075,0.0007543,1513915200,122364,96.88,2017-12-22 13:00:00
12,0.000817,0.000875,0.0008036,0.000833,1513918800,54868,46.78,2017-12-22 14:00:00
13,0.0008519,0.0008747,0.000817,0.000817,1513922400,36297,30.86,2017-12-22 15:00:00
14,0.0008003,0.0008729,0.0007801,0.0008519,1513926000,76242,62.2,2017-12-22 16:00:00
15,0.0007987,0.0008603,0.0007805,0.0008003,1513929600,88331,72.34,2017-12-22 17:00:00
16,0.0008001,0.00082,0.000783,0.0007987,1513933200,118938,94.06,2017-12-22 18:00:00
17,0.000826,0.000826,0.0007915,0.0008001,1513936800,73838,59.33,2017-12-22 19:00:00
18,0.000848,0.0008674,0.000826,0.000826,1513940400,42263,35.59,2017-12-22 20:00:00
19,0.0008401,0.0008558,0.0008117,0.000848,1513944000,106991,89.21,2017-12-22 21:00:00
20,0.0008473,0.000855,0.0008204,0.0008401,1513947600,79317,66.98,2017-12-22 22:00:00
21,0.0008008,0.0008498,0.0007702,0.0008473,1513951200,145124,116.5,2017-12-22 23:00:00
22,0.000745,0.0008008,0.00074,0.0008008,1513954800,369355,280.36,2017-12-23 00:00:00
23,0.00074,0.000745,0.00073,0.000745,1513958400,250186,184.61,2017-12-23 01:00:00
24,0.0008201,0.000845,0.0007385,0.00074,1513962000,107542,84.0,2017-12-23 02:00:00
25,0.0008009,0.0008498,0.0008,0.0008201,1513965600,147027,121.21,2017-12-23 03:00:00
26,0.0008493,0.0008498,0.0008009,0.0008009,1513969200,115654,96.49,2017-12-23 04:00:00
27,0.00091,0.0009101,0.000845,0.0008493,1513972800,107949,93.39,2017-12-23 05:00:00
28,0.000904,0.00091,0.000819,0.00091,1513976400,88172,77.54,2017-12-23 06:00:00
29,0.0009401,0.000941,0.0009,0.000904,1513980000,144903,133.35,2017-12-23 07:00:00
30,0.0008937,0.00095,0.0008937,0.0009401,1513983600,91984,84.53,2017-12-23 08:00:00
31,0.0008832,0.0009011,0.0008604,0.0008937,1513987200,59582,52.82,2017-12-23 09:00:00
32,0.000845,0.0008869,0.000845,0.0008832,1513990800,37657,32.55,2017-12-23 10:00:00
33,0.0008375,0.0008718,0.0008311,0.000845,1513994400,52151,44.07,2017-12-23 11:00:00
34,0.000897,0.0009009,0.0008375,0.0008375,1513998000,36031,31.31,2017-12-23 12:00:00
35,0.0009017,0.0009036,0.0008721,0.000897,1514001600,95360,85.02,2017-12-23 13:00:00
36,0.000899,0.0009026,0.0008755,0.0009017,1514005200,21756,19.45,2017-12-23 14:00:00
37,0.0009075,0.00091,0.0008722,0.000899,1514008800,107408,95.29,2017-12-23 15:00:00
38,0.0008864,0.0009091,0.0008619,0.0009075,1514012400,35227,31.25,2017-12-23 16:00:00
39,0.0009038,0.0009042,0.0008864,0.0008864,1514016000,18024,16.23,2017-12-23 17:00:00
40,0.0009229,0.000924,0.0008913,0.0009038,1514019600,65629,59.8,2017-12-23 18:00:00
41,0.0009144,0.000928,0.0008921,0.0009229,1514023200,118580,107.91,2017-12-23 19:00:00
42,0.0009497,0.0009499,0.000896,0.0009144,1514026800,129539,120.19,2017-12-23 20:00:00
43,0.0009591,0.00096,0.00093,0.0009497,1514030400,71975,68.3,2017-12-23 21:00:00
44,0.000954,0.0009646,0.0009402,0.0009591,1514034000,64882,61.98,2017-12-23 22:00:00
45,0.00096,0.00096,0.0009516,0.000954,1514037600,126492,121.01,2017-12-23 23:00:00
46,0.00091,0.000966,0.00091,0.00096,1514041200,163841,154.37,2017-12-24 00:00:00
47,0.0009449,0.0009502,0.00091,0.00091,1514044800,39368,36.6,2017-12-24 01:00:00
48,0.0009394,0.0009592,0.0009228,0.0009449,1514048400,91312,85.9,2017-12-24 02:00:00
49,0.0009497,0.0009589,0.000925,0.0009394,1514052000,69327,65.53,2017-12-24 03:00:00
50,0.00096,0.00099,0.0009356,0.0009497,1514055600,168014,162.58,2017-12-24 04:00:00
51,0.0009641,0.0009646,0.0009534,0.00096,1514059200,46216,44.35,2017-12-24 05:00:00
52,0.00097,0.001,0.000955,0.0009641,1514062800,52386,50.9,2017-12-24 06:00:00
53,0.000975,0.0009796,0.00096,0.00097,1514066400,84671,82.32,2017-12-24 07:00:00
54,0.000963,0.0009998,0.0009601,0.000975,1514070000,136875,134.13,2017-12-24 08:00:00
