,close,high,low,open,time,volumefrom,volumeto,timestamp
0,6.119e-05,6.436e-05,6e-05,6.14e-05,1513875600,77962419,4816.46,2017-12-22 02:00:00
1,5.67e-05,6.146e-05,5.602e-05,6.119e-05,1513879200,96163121,5675.98,2017-12-22 03:00:00
2,5.666e-05,5.874e-05,5.502e-05,5.67e-05,1513882800,78579656,4442.42,2017-12-22 04:00:00
3,5.369e-05,5.7e-05,5.19e-05,5.666e-05,1513886400,66458286,3652.09,2017-12-22 05:00:00
4,5.6e-05,5.9e-05,5.105e-05,5.369e-05,1513890000,76322601,4148.23,2017-12-22 06:00:00
5,6.2e-05,6.54e-05,5.503e-05,5.6e-05,1513893600,86524506,5187.77,2017-12-22 07:00:00
6,5.74e-05,6.34e-05,5.54e-05,6.214e-05,1513897200,71001296,4216.05,2017-12-22 08:00:00
7,5.499e-05,5.998e-05,5.44e-05,5.74e-05,1513900800,65688588,3750.07,2017-12-22 09:00:00
8,5.132e-05,5.75e-05,5.113e-05,5.499e-05,1513904400,83672282,4519.64,2017-12-22 10:00:00
9,5.013e-05,6e-05,4.78e-05,5.132e-05,1513908000,87667370,4521.06,2017-12-22 11:00:00
10,5.565e-05,5.8e-05,4.992e-05,5.013e-05,1513911600,86803142,4554.25,2017-12-22 12:00:00
11,5.76e-05,6e-05,5.242e-05,5.565e-05,1513915200,81041648,4564.35,2017-12-22 13:00:00
12,5.896e-05,6.1e-05,5.676e-05,5.76e-05,1513918800,76955167,4487.86,2017-12-22 14:00:00
13,5.564e-05,5.917e-05,5.501e-05,5.896e-05,1513922400,64842639,3750.79,2017-12-22 15:00:00
14,5.386e-05,5.85e-05,5.16e-05,5.564e-05,1513926000,93657915,5054.03,2017-12-22 16:00:00
15,5.444e-05,5.65e-05,5.127e-05,5.386e-05,1513929600,76081672,4091.43,2017-12-22 17:00:00
16,5.371e-05,5.85e-05,5.25e-05,5.444e-05,1513933200,71882948,4007.53,2017-12-22 18:00:00
17,5.449e-05,5.517e-05,5.216e-05,5.371e-05,1513936800,65912774,3542.66,2017-12-22 19:00:00
18,5.374e-05,5.453e-05,5.26e-05,5.449e-05,1513940400,58169657,3113.75,2017-12-22 20:00:00
19,5.21e-05,5.412e-05,5.183e-05,5.374e-05,1513944000,69463323,3659.69,2017-12-22 21:00:00
20,4.55e-05,5.228e-05,4.533e-05,5.21e-05,1513947600,93252893,4601.6,2017-12-22 22:00:00
21,4.6e-05,5.201e-05,3.75e-05,4.55e-05,1513951200,109098138,4679.31,2017-12-22 23:00:00
22,5.348e-05,5.798e-05,4.532e-05,4.6e-05,1513954800,89809766,4435.79,2017-12-23 00:00:00
23,5.152e-05,5.392e-05,4.902e-05,5.348e-05,1513958400,78813633,4056.56,2017-12-23 01:00:00
24,4.865e-05,5.189e-05,4.803e-05,5.152e-05,1513962000,58979467,2899.91,2017-12-23 02:00:00
25,4.94e-05,5.027e-05,4.785e-05,4.865e-05,1513965600,57327881,2807.85,2017-12-23 03:00:00
26,5.15e-05,5.65e-05,4.913e-05,4.94e-05,1513969200,36876943,1900.46,2017-12-23 04:00:00
27,5.434e-05,5.484e-05,5.15e-05,5.15e-05,1513972800,32677178,1728.91,2017-12-23 05:00:00
28,5.488e-05,5.875e-05,5.425e-05,5.434e-05,1513976400,47312243,2661.78,2017-12-23 06:00:00
29,5.803e-05,5.89e-05,5.428e-05,5.488e-05,1513980000,40207563,2284.78,2017-12-23 07:00:00
30,5.446e-05,5.803e-05,5.212e-05,5.803e-05,1513983600,41703475,2320.86,2017-12-23 08:00:00
31,5.469e-05,5.597e-05,5.338e-05,5.446e-05,1513987200,26864078,1465.42,2017-12-23 09:00:00
32,5.54e-05,5.565e-05,5.313e-05,5.469e-05,1513990800,45346660,2473.65,2017-12-23 10:00:00
33,5.591e-05,5.841e-05,5.459e-05,5.54e-05,1513994400,59410871,3344.69,2017-12-23 11:00:00
34,5.466e-05,5.694e-05,5.358e-05,5.591e-05,1513998000,41049614,2260.77,2017-12-23 12:00:00
35,5.208e-05,5.54e-05,5.188e-05,5.466e-05,1514001600,39956697,2149.21,2017-12-23 13:00:00
36,5.242e-05,5.351e-05,5.188e-05,5.208e-05,1514005200,31117705,1643.6,2017-12-23 14:00:00
37,4.97e-05,5.277e-05,4.85e-05,5.242e-05,1514008800,46935715,2367.63,2017-12-23 15:00:00
38,5.093e-05,5.251e-05,4.853e-05,4.97e-05,1514012400,34871464,1775.13,2017-12-23 16:00:00
39,5.003e-05,5.221e-05,5.001e-05,5.093e-05,1514016000,26468211,1347.19,2017-12-23 17:00:00
40,5.099e-05,5.199e-05,4.852e-05,5.003e-05,1514019600,33826695,1696.81,2017-12-23 18:00:00
41,5.152e-05,5.223e-05,5e-05,5.099e-05,1514023200,29906248,1529.29,2017-12-23 19:00:00
42,5.192e-05,5.249e-05,5.104e-05,5.152e-05,1514026800,22057405,1138.88,2017-12-23 20:00:00
43,5.238e-05,5.445e-05,5.187e-05,5.192e-05,1514030400,43186200,2299.78,2017-12-23 21:00:00
44,5.154e-05,5.3e-05,5.126e-05,5.238e-05,1514034000,63053613,3277.2,2017-12-23 22:00:00
45,5.439e-05,5.445e-05,5.135e-05,5.154e-05,1514037600,66189655,3454.36,2017-12-23 23:00:00
46,5.899e-05,6.19e-05,5.391e-05,5.439e-05,1514041200,86680287,5023.49,2017-12-24 00:00:00
47,6.349e-05,6.69e-05,5.899e-05,5.899e-05,1514044800,99555424,6370.75,2017-12-24 01:00:00
48,6.206e-05,6.385e-05,5.847e-05,6.349e-05,1514048400,61162872,3753.32,2017-12-24 02:00:00
49,6.042e-05,6.378e-05,6.005e-05,6.206e-05,1514052000,35993790,2229.78,2017-12-24 03:00:00
50,6.102e-05,6.3e-05,6.013e-05,6.042e-05,1514055600,28582669,1752.48,2017-12-24 04:00:00
51,6.498e-05,6.499e-05,6.01e-05,6.102e-05,1514059200,39435834,2425.01,2017-12-24 05:00:00
52,6.944e-05,7.4e-05,6.201e-05,6.498e-05,1514062800,81071993,5445.3,2017-12-24 06:00:00
53,7.206e-05,7.339e-05,6.7e-05,6.944e-05,1514066400,72436274,5109.2,2017-12-24 07:00:00
54,6.989e-05,7.836e-05,6.7e-05,7.206e-05,1514070000,140370313,10325.74,2017-12-24 08:00:00
55,6.69e-05,7.105e-05,6.3e-05,6.989e-05,1514073600,54100767,3641.26,2017-12-24 09:00:00
56,6.989e-05,7.189e-05,6.504e-05,6.69e-05,1514077200,41083211,2839.23,2017-12-24 10:00:00
57,6.187e-05,7.09e-05,6.117e-05,6.989e-05,1514080800,49417478,3263.9,2017-12-24 11:00:00
58,6.361e-05,6.64e-05,6.025e-05,6.187e-05,1514084400,43938899,2808.34,2017-12-24 12:00:00
59,6.089e-05,6.392e-05,5.92e-05,6.361e-05,1514088000,71313865,4370.96,2017-12-24 13:00:00
60,6.229e-05,6.499e-05,6e-05,6.089e-05,1514091600,81012465,5011.58,2017-12-24 14:00:00
61,6.289e-05,6.429e-05,6.188e-05,6.229e-05,1514095200,63278500,3981.27,2017-12-24 15:00:00
62,6.104e-05,6.289e-05,5.951e-05,6.289e-05,1514098800,78838073,4811.77,2017-12-24 16:00:00
63,6.168e-05,6.3e-05,5.955e-05,6.104e-05,1514102400,73121310,4493.77,2017-12-24 17:00:00
64,6.127e-05,6.298e-05,6.1e-05,6.168e-05,1514106000,100224835,6235.4,2017-12-24 18:00:00
65,6.144e-05,6.15e-05,6.001e-05,6.127e-05,1514109600,127671792,7790.57,2017-12-24 19:00:00
66,6.067e-05,6.296e-05,5.908e-05,6.144e-05,1514113200,111522891,6846.88,2017-12-24 20:00:00
67,5.794e-05,6.102e-05,5.513e-05,6.078e-05,1514116800,96253697,5643.31,2017-12-24 21:00:00
68,5.749e-05,6.199e-05,5.632e-05,5.794e-05,1514120400,95171810,5522.44,2017-12-24 22:00:00
69,5.783e-05,5.825e-05,5.53e-05,5.749e-05,1514124000,93797291,5326.65,2017-12-24 23:00:00
70,5.544e-05,5.9e-05,5.5e-05,5.783e-05,1514127600,100055481,5682.2,2017-12-25 00:00:00
71,5.507e-05,5.688e-05,5.45e-05,5.544e-05,1514131200,92370871,5127.15,2017-12-25 01:00:00
72,5.302e-05,5.573e-05,5.265e-05,5.507e-05,1514134800,89545462,4884.21,2017-12-25 02:00:00
73,5.268e-05,5.405e-05,5.222e-05,5.302e-05,1514138400,96969901,5138.58,2017-12-25 03:00:00
74,5.405e-05,5.62e-05,5.225e-05,5.268e-05,1514142000,62579461,3383.94,2017-12-25 04:00:00
75,5.42e-05,5.452e-05,5.295e-05,5.405e-05,1514145600,37765066,2022.7,2017-12-25 05:00:00
76,5.403e-05,5.448e-05,5.301e-05,5.419e-05,1514149200,53708825,2887.61,2017-12-25 06:00:00
77,5.36e-05,5.445e-05,5.308e-05,5.403e-05,1514152800,75657759,4055.67,2017-12-25 07:00:00
78,5.375e-05,5.399e-05,5.3e-05,5.36e-05,1514156400,51964590,2773.21,2017-12-25 08:00:00
79,5.449e-05,5.788e-05,5.341e-05,5.375e-05,1514160000,40806351,2260.62,2017-12-25 09:00:00
80,5.587e-05,5.599e-05,5.385e-05,5.449e-05,1514163600,22447753,1237.24,2017-12-25 10:00:00
81,5.351e-05,5.632e-05,5.27e-05,5.587e-05,1514167200,28028686,1514.32,2017-12-25 11:00:00
82,5.308e-05,5.382e-05,5.222e-05,5.351e-05,1514170800,19008619,1008.18,2017-12-25 12:00:00
