,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.5489,0.5685,0.5365,0.5365,1513875600,275.9,150.86,2017-12-22 02:00:00
1,0.514,0.549,0.5133,0.5489,1513879200,555.15,293.12,2017-12-22 03:00:00
2,0.5299,0.53,0.5118,0.514,1513882800,346.24,179.56,2017-12-22 04:00:00
3,0.534,0.5498,0.5165,0.5299,1513886400,384.33,203.96,2017-12-22 05:00:00
4,0.5311,0.548,0.531,0.534,1513890000,249.44,133.57,2017-12-22 06:00:00
5,0.5469,0.549,0.531,0.5311,1513893600,416.68,225.44,2017-12-22 07:00:00
6,0.5353,0.552,0.5318,0.5469,1513897200,379.24,205.37,2017-12-22 08:00:00
7,0.525,0.5434,0.525,0.5353,1513900800,537.85,285.46,2017-12-22 09:00:00
8,0.501,0.5367,0.501,0.525,1513904400,837.39,433.36,2017-12-22 10:00:00
9,0.5091,0.5234,0.5,0.501,1513908000,763.91,388.56,2017-12-22 11:00:00
10,0.524,0.5378,0.5091,0.5091,1513911600,835.12,433.31,2017-12-22 12:00:00
11,0.5297,0.5389,0.524,0.524,1513915200,296.91,157.63,2017-12-22 13:00:00
12,0.516,0.5389,0.5092,0.5297,1513918800,475.91,250.73,2017-12-22 14:00:00
13,0.5,0.5383,0.5,0.516,1513922400,272.43,139.31,2017-12-22 15:00:00
14,0.495,0.502,0.45,0.5,1513926000,635.14,301.11,2017-12-22 16:00:00
15,0.5,0.5113,0.455,0.495,1513929600,443.62,217.21,2017-12-22 17:00:00
16,0.5186,0.5232,0.4962,0.5,1513933200,360.16,183.06,2017-12-22 18:00:00
17,0.511,0.544,0.5,0.5186,1513936800,393.76,203.94,2017-12-22 19:00:00
18,0.5031,0.5399,0.5,0.511,1513940400,246.43,124.46,2017-12-22 20:00:00
19,0.5103,0.5121,0.503,0.5031,1513944000,177.37,89.39,2017-12-22 21:00:00
20,0.4812,0.5223,0.4802,0.5103,1513947600,415.27,209.23,2017-12-22 22:00:00
21,0.498,0.5026,0.4754,0.4812,1513951200,600.14,291.15,2017-12-22 23:00:00
22,0.4919,0.5018,0.483,0.498,1513954800,449.72,221.31,2017-12-23 00:00:00
23,0.5092,0.544,0.4919,0.4919,1513958400,402.1,204.17,2017-12-23 01:00:00
24,0.54,0.544,0.5023,0.5092,1513962000,145.6,75.94,2017-12-23 02:00:00
25,0.5345,0.544,0.531,0.54,1513965600,123.97,66.6,2017-12-23 03:00:00
26,0.5498,0.552,0.5345,0.5345,1513969200,357.56,194.16,2017-12-23 04:00:00
27,0.5458,0.555,0.5451,0.5498,1513972800,433.67,238.24,2017-12-23 05:00:00
28,0.5548,0.5548,0.545,0.5458,1513976400,176.18,96.55,2017-12-23 06:00:00
29,0.5297,0.561,0.516,0.5548,1513980000,215.11,117.2,2017-12-23 07:00:00
30,0.5116,0.545,0.5031,0.5297,1513983600,370.65,192.65,2017-12-23 08:00:00
31,0.5092,0.521,0.5031,0.5116,1513987200,290.66,148.25,2017-12-23 09:00:00
32,0.4942,0.5205,0.4915,0.5092,1513990800,374.4,186.31,2017-12-23 10:00:00
33,0.51,0.5145,0.4917,0.4942,1513994400,88.45,44.35,2017-12-23 11:00:00
34,0.51,0.5142,0.5034,0.51,1513998000,246.88,125.3,2017-12-23 12:00:00
35,0.5127,0.5204,0.51,0.51,1514001600,185.9,95.96,2017-12-23 13:00:00
36,0.5166,0.52,0.51,0.5127,1514005200,175.92,90.82,2017-12-23 14:00:00
37,0.5,0.5166,0.5,0.5166,1514008800,182.32,92.04,2017-12-23 15:00:00
38,0.5189,0.52,0.5,0.5,1514012400,161.25,82.85,2017-12-23 16:00:00
39,0.5265,0.5273,0.5101,0.5189,1514016000,267.64,138.35,2017-12-23 17:00:00
40,0.513,0.5272,0.5117,0.5265,1514019600,115.62,59.75,2017-12-23 18:00:00
41,0.523,0.5249,0.51,0.513,1514023200,133.58,68.74,2017-12-23 19:00:00
42,0.5226,0.5273,0.5201,0.523,1514026800,87.84,46.02,2017-12-23 20:00:00
43,0.5339,0.535,0.5226,0.5226,1514030400,157.86,83.52,2017-12-23 21:00:00
44,0.529,0.5339,0.525,0.5339,1514034000,130.75,68.9,2017-12-23 22:00:00
45,0.534,0.535,0.526,0.529,1514037600,123.34,65.51,2017-12-23 23:00:00
46,0.5325,0.56,0.531,0.534,1514041200,223.28,119.88,2017-12-24 00:00:00
47,0.5184,0.533,0.5146,0.5325,1514044800,134.46,70.62,2017-12-24 01:00:00
48,0.5241,0.5338,0.5146,0.5184,1514048400,154.98,80.94,2017-12-24 02:00:00
