,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.09801,0.108,0.09801,0.1027,1513875600,263.85,27.28,2017-12-22 02:00:00
1,0.1023,0.1056,0.09801,0.09801,1513879200,110.38,11.24,2017-12-22 03:00:00
2,0.1149,0.12,0.1023,0.1023,1513882800,952.93,106.75,2017-12-22 04:00:00
3,0.1385,0.15,0.1132,0.1149,1513886400,432.78,55.73,2017-12-22 05:00:00
4,0.1256,0.1385,0.1211,0.1385,1513890000,973.94,126.4,2017-12-22 06:00:00
5,0.1146,0.156,0.1039,0.1256,1513893600,558.85,69.3,2017-12-22 07:00:00
6,0.1176,0.1189,0.114,0.1146,1513897200,135.98,15.89,2017-12-22 08:00:00
7,0.1131,0.12,0.1131,0.1176,1513900800,230.9,26.77,2017-12-22 09:00:00
8,0.102,0.1171,0.09897,0.1131,1513904400,388.81,40.93,2017-12-22 10:00:00
9,0.1045,0.12,0.102,0.102,1513908000,213.21,22.54,2017-12-22 11:00:00
10,0.102,0.111,0.099,0.1045,1513911600,426.48,44.31,2017-12-22 12:00:00
11,0.109,0.1141,0.101,0.102,1513915200,433.73,45.42,2017-12-22 13:00:00
12,0.1161,0.1161,0.109,0.109,1513918800,178.73,20.22,2017-12-22 14:00:00
13,0.1104,0.122,0.1092,0.1161,1513922400,169.91,19.44,2017-12-22 15:00:00
14,0.1065,0.1104,0.1028,0.1104,1513926000,154.65,16.48,2017-12-22 16:00:00
15,0.1104,0.1128,0.1035,0.1065,1513929600,212.88,22.72,2017-12-22 17:00:00
16,0.1089,0.116,0.1075,0.1104,1513933200,176.49,19.64,2017-12-22 18:00:00
17,0.1118,0.114,0.1089,0.1089,1513936800,65.49,7.18,2017-12-22 19:00:00
18,0.1044,0.114,0.1032,0.1118,1513940400,112.22,12.34,2017-12-22 20:00:00
19,0.1,0.1068,0.1,0.1044,1513944000,47.76,5.01,2017-12-22 21:00:00
20,0.1039,0.1039,0.1,0.1,1513947600,333.48,34.34,2017-12-22 22:00:00
21,0.09996,0.1039,0.095,0.1039,1513951200,246.73,24.29,2017-12-22 23:00:00
22,0.1062,0.115,0.09601,0.09996,1513954800,130.92,13.28,2017-12-23 00:00:00
23,0.108,0.115,0.1062,0.1062,1513958400,280.49,30.82,2017-12-23 01:00:00
24,0.1113,0.115,0.1063,0.108,1513962000,213.37,23.53,2017-12-23 02:00:00
25,0.1063,0.1197,0.1063,0.1113,1513965600,246.46,27.3,2017-12-23 03:00:00
26,0.1122,0.1123,0.1053,0.1063,1513969200,188.22,20.52,2017-12-23 04:00:00
27,0.1115,0.1182,0.1112,0.1122,1513972800,172.68,19.51,2017-12-23 05:00:00
28,0.1194,0.122,0.1112,0.1115,1513976400,142.75,16.73,2017-12-23 06:00:00
29,0.118,0.1222,0.1113,0.1194,1513980000,239.84,27.73,2017-12-23 07:00:00
30,0.1104,0.118,0.1104,0.118,1513983600,203.83,22.8,2017-12-23 08:00:00
31,0.1074,0.1112,0.1022,0.1104,1513987200,132.75,14.24,2017-12-23 09:00:00
32,0.1062,0.109,0.1062,0.1074,1513990800,86.31,9.29,2017-12-23 10:00:00
33,0.1075,0.1088,0.1062,0.1062,1513994400,36.13,3.89,2017-12-23 11:00:00
34,0.1051,0.1075,0.1013,0.1075,1513998000,52.6,5.54,2017-12-23 12:00:00
35,0.1043,0.1062,0.1029,0.1051,1514001600,69.07,7.32,2017-12-23 13:00:00
36,0.106,0.1088,0.1043,0.1043,1514005200,45.52,4.87,2017-12-23 14:00:00
37,0.1089,0.1104,0.1046,0.106,1514008800,222.41,23.75,2017-12-23 15:00:00
38,0.1122,0.125,0.1089,0.1089,1514012400,104.68,12.15,2017-12-23 16:00:00
39,0.1108,0.1122,0.1089,0.1122,1514016000,67.04,7.36,2017-12-23 17:00:00
40,0.1095,0.111,0.1082,0.1108,1514019600,65.21,7.14,2017-12-23 18:00:00
41,0.1168,0.12,0.1043,0.1095,1514023200,166.29,18.97,2017-12-23 19:00:00
42,0.1182,0.1182,0.1157,0.1168,1514026800,128.49,15.08,2017-12-23 20:00:00
43,0.1202,0.126,0.1182,0.1182,1514030400,550.54,67.16,2017-12-23 21:00:00
44,0.119,0.1276,0.1156,0.1202,1514034000,319.96,38.79,2017-12-23 22:00:00
45,0.12,0.1215,0.109,0.119,1514037600,290.25,33.79,2017-12-23 23:00:00
46,0.1147,0.125,0.1135,0.12,1514041200,411.38,48.85,2017-12-24 00:00:00
47,0.114,0.12,0.1135,0.1147,1514044800,131.36,15.04,2017-12-24 01:00:00
48,0.1168,0.128,0.1109,0.114,1514048400,116.0,13.63,2017-12-24 02:00:00
49,0.1175,0.12,0.1109,0.1168,1514052000,45.59,5.26,2017-12-24 03:00:00
50,0.12,0.12,0.1129,0.1175,1514055600,50.42,5.83,2017-12-24 04:00:00
51,0.1173,0.122,0.1129,0.12,1514059200,86.51,10.24,2017-12-24 05:00:00
52,0.117,0.1195,0.1151,0.1173,1514062800,24.24,2.83,2017-12-24 06:00:00
53,0.1185,0.123,0.117,0.117,1514066400,92.58,11.01,2017-12-24 07:00:00
54,0.117,0.1249,0.1157,0.1185,1514070000,101.33,12.11,2017-12-24 08:00:00
55,0.1129,0.117,0.1129,0.117,1514073600,18.66,2.12,2017-12-24 09:00:00
56,0.1156,0.1156,0.1129,0.1129,1514077200,10.95,1.25,2017-12-24 10:00:00
57,0.1129,0.117,0.1129,0.1156,1514080800,83.96,9.53,2017-12-24 11:00:00
58,0.1128,0.1142,0.109,0.1129,1514084400,54.45,6.09,2017-12-24 12:00:00
59,0.1113,0.1142,0.109,0.1128,1514088000,351.19,39.92,2017-12-24 13:00:00
60,0.1134,0.1156,0.1078,0.1113,1514091600,19.77,2.23,2017-12-24 14:00:00
61,0.1141,0.1155,0.1134,0.1134,1514095200,60.66,6.92,2017-12-24 15:00:00
62,0.1158,0.12,0.1141,0.1141,1514098800,59.26,6.86,2017-12-24 16:00:00
