,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.8123,0.8545,0.806,0.8545,1513875600,185.98,154.91,2017-12-22 02:00:00
1,0.8246,0.859,0.8123,0.8123,1513879200,57.66,48.47,2017-12-22 03:00:00
2,0.8,0.8379,0.795,0.8246,1513882800,82.69,66.88,2017-12-22 04:00:00
3,0.8155,0.846,0.8,0.8,1513886400,149.47,123.2,2017-12-22 05:00:00
4,0.839,0.8396,0.8002,0.8155,1513890000,93.87,76.72,2017-12-22 06:00:00
5,0.86,0.86,0.8221,0.839,1513893600,79.86,68.02,2017-12-22 07:00:00
6,0.8231,0.86,0.8223,0.86,1513897200,74.68,62.33,2017-12-22 08:00:00
7,0.8057,0.8497,0.8057,0.8231,1513900800,44.17,36.45,2017-12-22 09:00:00
8,0.76,0.8297,0.76,0.8057,1513904400,139.56,108.8,2017-12-22 10:00:00
9,0.77,0.7878,0.7528,0.76,1513908000,228.89,177.59,2017-12-22 11:00:00
10,0.7793,0.8084,0.7602,0.77,1513911600,97.11,75.74,2017-12-22 12:00:00
11,0.7926,0.8169,0.7612,0.7793,1513915200,43.64,34.36,2017-12-22 13:00:00
12,0.773,0.8139,0.7512,0.7926,1513918800,27.62,21.43,2017-12-22 14:00:00
13,0.75,0.773,0.75,0.773,1513922400,37.48,28.43,2017-12-22 15:00:00
14,0.736,0.7727,0.73,0.75,1513926000,90.21,67.91,2017-12-22 16:00:00
15,0.7725,0.799,0.73,0.736,1513929600,48.91,37.28,2017-12-22 17:00:00
16,0.7844,0.8031,0.7724,0.7725,1513933200,111.57,87.69,2017-12-22 18:00:00
17,0.76,0.7844,0.73,0.7844,1513936800,35.03,26.17,2017-12-22 19:00:00
18,0.7524,0.77,0.7307,0.76,1513940400,55.65,42.3,2017-12-22 20:00:00
19,0.74,0.7566,0.74,0.7524,1513944000,52.81,39.47,2017-12-22 21:00:00
20,0.729,0.7526,0.71,0.74,1513947600,260.31,190.86,2017-12-22 22:00:00
21,0.7398,0.751,0.7059,0.729,1513951200,439.12,319.65,2017-12-22 23:00:00
22,0.731,0.7515,0.7202,0.7398,1513954800,154.99,113.5,2017-12-23 00:00:00
23,0.7112,0.7507,0.711,0.731,1513958400,72.31,52.54,2017-12-23 01:00:00
24,0.7699,0.7699,0.7112,0.7112,1513962000,147.31,109.77,2017-12-23 02:00:00
25,0.7888,0.7888,0.7575,0.7699,1513965600,37.28,28.95,2017-12-23 03:00:00
26,0.8019,0.814,0.7738,0.7888,1513969200,241.95,191.15,2017-12-23 04:00:00
27,0.8034,0.83,0.7807,0.8019,1513972800,197.54,159.88,2017-12-23 05:00:00
28,0.808,0.8179,0.7809,0.8034,1513976400,101.28,81.08,2017-12-23 06:00:00
29,0.7972,0.8143,0.766,0.808,1513980000,55.92,43.86,2017-12-23 07:00:00
30,0.7638,0.804,0.7638,0.7972,1513983600,142.01,110.72,2017-12-23 08:00:00
31,0.7681,0.7892,0.7552,0.7638,1513987200,53.37,40.86,2017-12-23 09:00:00
32,0.7775,0.786,0.766,0.7681,1513990800,43.0,33.06,2017-12-23 10:00:00
33,0.7588,0.78,0.7552,0.7775,1513994400,84.08,64.33,2017-12-23 11:00:00
34,0.81,0.816,0.7553,0.7588,1513998000,103.16,79.87,2017-12-23 12:00:00
35,0.784,0.81,0.7752,0.81,1514001600,58.65,46.25,2017-12-23 13:00:00
36,0.7702,0.8087,0.7702,0.784,1514005200,150.73,117.96,2017-12-23 14:00:00
37,0.7621,0.7869,0.7553,0.7702,1514008800,77.69,59.54,2017-12-23 15:00:00
38,0.78,0.797,0.7621,0.7621,1514012400,27.43,21.44,2017-12-23 16:00:00
39,0.7882,0.789,0.7652,0.78,1514016000,47.91,37.43,2017-12-23 17:00:00
40,0.7773,0.789,0.7695,0.7882,1514019600,27.88,21.8,2017-12-23 18:00:00
41,0.7929,0.8085,0.7773,0.7773,1514023200,81.31,64.14,2017-12-23 19:00:00
42,0.8197,0.8199,0.7929,0.7929,1514026800,22.63,18.19,2017-12-23 20:00:00
43,0.8064,0.8241,0.8004,0.8197,1514030400,33.94,27.46,2017-12-23 21:00:00
44,0.8086,0.8086,0.792,0.8064,1514034000,47.62,38.17,2017-12-23 22:00:00
45,0.8015,0.8299,0.792,0.8086,1514037600,55.99,45.14,2017-12-23 23:00:00
46,0.7939,0.8149,0.7925,0.8015,1514041200,223.0,178.8,2017-12-24 00:00:00
47,0.7837,0.8,0.7837,0.7939,1514044800,74.62,58.93,2017-12-24 01:00:00
48,0.79,0.798,0.7837,0.7837,1514048400,27.2,21.62,2017-12-24 02:00:00
49,0.7856,0.7971,0.785,0.79,1514052000,16.31,12.83,2017-12-24 03:00:00
50,0.7855,0.7969,0.7853,0.7856,1514055600,42.19,33.23,2017-12-24 04:00:00
51,0.78,0.7954,0.7712,0.7855,1514059200,38.7,30.35,2017-12-24 05:00:00
52,0.772,0.7852,0.7552,0.78,1514062800,193.36,148.7,2017-12-24 06:00:00
53,0.7734,0.786,0.772,0.772,1514066400,13.55,10.55,2017-12-24 07:00:00
54,0.7796,0.7859,0.761,0.7734,1514070000,24.1,18.58,2017-12-24 08:00:00
55,0.7768,0.7859,0.761,0.7796,1514073600,35.69,27.38,2017-12-24 09:00:00
56,0.766,0.7855,0.7615,0.7768,1514077200,27.85,21.41,2017-12-24 10:00:00
57,0.7618,0.7816,0.76,0.766,1514080800,26.94,20.6,2017-12-24 11:00:00
58,0.7739,0.774,0.73,0.7618,1514084400,141.06,105.59,2017-12-24 12:00:00
59,0.76,0.7855,0.7524,0.7739,1514088000,31.69,24.12,2017-12-24 13:00:00
60,0.7831,0.7848,0.7526,0.76,1514091600,22.32,17.1,2017-12-24 14:00:00
61,0.7859,0.786,0.7657,0.7831,1514095200,22.64,17.63,2017-12-24 15:00:00
62,0.7539,0.7859,0.74,0.7859,1514098800,105.77,79.88,2017-12-24 16:00:00
63,0.7589,0.7845,0.746,0.7539,1514102400,108.83,82.56,2017-12-24 17:00:00
64,0.7664,0.775,0.7511,0.7589,1514106000,91.6,69.53,2017-12-24 18:00:00
65,0.7459,0.7737,0.74,0.7664,1514109600,134.84,101.23,2017-12-24 19:00:00
66,0.7468,0.7716,0.73,0.7459,1514113200,77.91,58.01,2017-12-24 20:00:00
67,0.758,0.758,0.7371,0.7468,1514116800,25.27,18.9,2017-12-24 21:00:00
68,0.7577,0.7688,0.7483,0.758,1514120400,26.13,19.86,2017-12-24 22:00:00
69,0.7671,0.7688,0.756,0.7577,1514124000,29.45,22.43,2017-12-24 23:00:00
70,0.7582,0.7707,0.7543,0.7671,1514127600,27.83,21.18,2017-12-25 00:00:00
71,0.7657,0.7773,0.7562,0.7582,1514131200,39.21,30.11,2017-12-25 01:00:00
72,0.7972,0.82,0.7657,0.7657,1514134800,509.47,403.52,2017-12-25 02:00:00
73,0.8041,0.817,0.782,0.7972,1514138400,248.75,198.83,2017-12-25 03:00:00
74,0.7831,0.8067,0.7831,0.8041,1514142000,38.8,30.87,2017-12-25 04:00:00
75,0.8027,0.8027,0.7831,0.7831,1514145600,28.52,22.73,2017-12-25 05:00:00
76,0.7872,0.8027,0.7855,0.8027,1514149200,32.28,25.57,2017-12-25 06:00:00
77,0.7863,0.8018,0.7835,0.7872,1514152800,55.13,43.45,2017-12-25 07:00:00
78,0.8,0.8005,0.7796,0.7863,1514156400,82.65,65.05,2017-12-25 08:00:00
79,0.7643,0.8,0.7643,0.8,1514160000,60.32,47.22,2017-12-25 09:00:00
80,0.7483,0.7909,0.7483,0.7643,1514163600,142.5,107.68,2017-12-25 10:00:00
81,0.7304,0.7659,0.73,0.7483,1514167200,143.56,105.92,2017-12-25 11:00:00
82,0.7457,0.7506,0.7304,0.7304,1514170800,37.88,27.97,2017-12-25 12:00:00
83,0.7345,0.7671,0.7321,0.7457,1514174400,64.66,48.19,2017-12-25 13:00:00
84,0.745,0.764,0.7345,0.7345,1514178000,10.77,8.03,2017-12-25 14:00:00
85,0.7413,0.767,0.735,0.745,1514181600,52.81,39.11,2017-12-25 15:00:00
86,0.7505,0.7668,0.74,0.7413,1514185200,51.48,38.39,2017-12-25 16:00:00
87,0.7488,0.7648,0.7361,0.7505,1514188800,43.62,32.44,2017-12-25 17:00:00
88,0.7509,0.7647,0.7401,0.7488,1514192400,22.46,16.85,2017-12-25 18:00:00
89,0.7419,0.7655,0.735,0.7509,1514196000,14.8,11.05,2017-12-25 19:00:00
90,0.7476,0.7633,0.7353,0.7419,1514199600,59.33,43.94,2017-12-25 20:00:00
91,0.75,0.75,0.7351,0.7476,1514203200,35.76,26.54,2017-12-25 21:00:00
92,0.7432,0.7584,0.7432,0.75,1514206800,12.91,9.62,2017-12-25 22:00:00
93,0.7327,0.7477,0.7304,0.7432,1514210400,39.47,29.14,2017-12-25 23:00:00
94,0.7456,0.7485,0.7327,0.7327,1514214000,85.47,63.11,2017-12-26 00:00:00
95,0.7435,0.7485,0.7372,0.7456,1514217600,82.9,61.32,2017-12-26 01:00:00
96,0.733,0.7435,0.733,0.7435,1514221200,33.62,24.86,2017-12-26 02:00:00
97,0.7309,0.7365,0.725,0.733,1514224800,46.82,34.13,2017-12-26 03:00:00
98,0.725,0.742,0.72,0.7309,1514228400,7.15,5.2,2017-12-26 04:00:00
99,0.7146,0.7362,0.71,0.725,1514232000,56.72,40.84,2017-12-26 05:00:00
100,0.718,0.7319,0.7103,0.7146,1514235600,26.82,19.36,2017-12-26 06:00:00
101,0.7247,0.7307,0.7108,0.718,1514239200,36.62,26.32,2017-12-26 07:00:00
102,0.724,0.7247,0.7132,0.7247,1514242800,43.05,30.96,2017-12-26 08:00:00
103,0.718,0.7337,0.7129,0.724,1514246400,39.57,28.49,2017-12-26 09:00:00
104,0.7142,0.7283,0.71,0.718,1514250000,34.49,24.67,2017-12-26 10:00:00
105,0.7098,0.73,0.7,0.7142,1514253600,120.98,85.97,2017-12-26 11:00:00
106,0.7273,0.7279,0.7,0.7098,1514257200,14.58,10.26,2017-12-26 12:00:00
107,0.7279,0.7337,0.7082,0.7273,1514260800,39.46,28.67,2017-12-26 13:00:00
108,0.7243,0.74,0.7114,0.7279,1514264400,29.62,21.57,2017-12-26 14:00:00
109,0.7238,0.7398,0.7111,0.7243,1514268000,19.16,13.72,2017-12-26 15:00:00
110,0.7054,0.7295,0.7054,0.7238,1514271600,9.52,6.78,2017-12-26 16:00:00
111,0.7025,0.7154,0.7025,0.7054,1514275200,8.38,5.93,2017-12-26 17:00:00
112,0.7115,0.7116,0.7025,0.7025,1514278800,24.49,17.35,2017-12-26 18:00:00
113,0.7025,0.7116,0.7025,0.7115,1514282400,10.08,7.12,2017-12-26 19:00:00
114,0.7025,0.723,0.7025,0.7025,1514286000,6.9,4.89,2017-12-26 20:00:00
115,0.7102,0.7124,0.7025,0.7025,1514289600,73.84,52.01,2017-12-26 21:00:00
116,0.7104,0.7228,0.7102,0.7102,1514293200,10.52,7.5,2017-12-26 22:00:00
117,0.726,0.7397,0.7104,0.7104,1514296800,57.84,42.16,2017-12-26 23:00:00
118,0.7103,0.735,0.7103,0.726,1514300400,34.55,24.92,2017-12-27 00:00:00
119,0.716,0.7162,0.701,0.7103,1514304000,20.77,14.75,2017-12-27 01:00:00
120,0.7203,0.7283,0.7068,0.716,1514307600,44.34,31.88,2017-12-27 02:00:00
121,0.7124,0.7203,0.7013,0.7203,1514311200,19.98,14.3,2017-12-27 03:00:00
122,0.7245,0.7245,0.7035,0.7124,1514314800,39.66,28.55,2017-12-27 04:00:00
123,0.7145,0.7245,0.7089,0.7245,1514318400,18.55,13.23,2017-12-27 05:00:00
124,0.7294,0.7295,0.701,0.7145,1514322000,9.76,7.02,2017-12-27 06:00:00
125,0.7249,0.7394,0.715,0.7294,1514325600,82.39,59.87,2017-12-27 07:00:00
126,0.7359,0.7386,0.7241,0.7249,1514329200,32.28,23.48,2017-12-27 08:00:00
127,0.7201,0.7359,0.7175,0.7359,1514332800,28.89,20.86,2017-12-27 09:00:00
128,0.7178,0.732,0.717,0.7201,1514336400,24.76,17.89,2017-12-27 10:00:00
129,0.731,0.7361,0.715,0.7178,1514340000,37.5,27.2,2017-12-27 11:00:00
130,0.7118,0.7361,0.7117,0.731,1514343600,61.34,44.4,2017-12-27 12:00:00
131,0.712,0.7361,0.7118,0.7118,1514347200,52.95,38.14,2017-12-27 13:00:00
132,0.7366,0.7399,0.712,0.712,1514350800,44.71,32.8,2017-12-27 14:00:00
133,0.7372,0.7435,0.726,0.7366,1514354400,35.43,26.01,2017-12-27 15:00:00
134,0.708,0.7426,0.708,0.7372,1514358000,20.57,14.97,2017-12-27 16:00:00
135,0.7178,0.7315,0.708,0.708,1514361600,70.26,50.48,2017-12-27 17:00:00
136,0.7153,0.72,0.708,0.7178,1514365200,5.14,3.68,2017-12-27 18:00:00
137,0.72,0.72,0.7102,0.7153,1514368800,10.24,7.35,2017-12-27 19:00:00
138,0.713,0.72,0.713,0.72,1514372400,24.89,17.9,2017-12-27 20:00:00
139,0.7166,0.72,0.712,0.713,1514376000,21.7,15.54,2017-12-27 21:00:00
140,0.7196,0.7289,0.711,0.7166,1514379600,15.51,11.14,2017-12-27 22:00:00
141,0.7178,0.7286,0.7111,0.7196,1514383200,10.24,7.36,2017-12-27 23:00:00
142,0.712,0.7264,0.7095,0.7178,1514386800,64.43,46.06,2017-12-28 00:00:00
143,0.7085,0.718,0.7016,0.712,1514390400,12.73,8.98,2017-12-28 01:00:00
144,0.7082,0.718,0.7016,0.7085,1514394000,9.46,6.7,2017-12-28 02:00:00
145,0.707,0.7174,0.707,0.7082,1514397600,20.3,14.44,2017-12-28 03:00:00
146,0.7106,0.7136,0.7016,0.707,1514401200,15.52,10.97,2017-12-28 04:00:00
147,0.6941,0.7106,0.6941,0.7106,1514404800,64.55,45.22,2017-12-28 05:00:00
148,0.705,0.705,0.69,0.6941,1514408400,65.98,45.83,2017-12-28 06:00:00
149,0.6932,0.713,0.6932,0.705,1514412000,14.02,9.87,2017-12-28 07:00:00
150,0.6981,0.7077,0.6932,0.6932,1514415600,13.29,9.32,2017-12-28 08:00:00
151,0.7125,0.7173,0.6981,0.6981,1514419200,11.67,8.27,2017-12-28 09:00:00
152,0.6983,0.7174,0.6983,0.7125,1514422800,18.62,13.21,2017-12-28 10:00:00
153,0.707,0.713,0.6982,0.6983,1514426400,19.1,13.45,2017-12-28 11:00:00
154,0.69,0.71,0.69,0.707,1514430000,66.24,45.89,2017-12-28 12:00:00
155,0.695,0.713,0.69,0.69,1514433600,27.63,19.38,2017-12-28 13:00:00
156,0.6903,0.7009,0.684,0.695,1514437200,27.17,18.82,2017-12-28 14:00:00
157,0.6846,0.6973,0.68,0.6903,1514440800,33.01,22.89,2017-12-28 15:00:00
158,0.6915,0.722,0.6789,0.6846,1514444400,165.38,115.52,2017-12-28 16:00:00
159,0.6881,0.7099,0.6851,0.6915,1514448000,45.04,31.17,2017-12-28 17:00:00
160,0.6887,0.7,0.6852,0.6881,1514451600,69.22,48.25,2017-12-28 18:00:00
161,0.6896,0.7078,0.685,0.6887,1514455200,64.49,44.57,2017-12-28 19:00:00
162,0.6791,0.7,0.6791,0.6896,1514458800,2.2,1.51,2017-12-28 20:00:00
163,0.6787,0.686,0.6737,0.6791,1514462400,5.1,3.47,2017-12-28 21:00:00
164,0.68,0.7025,0.6731,0.6787,1514466000,106.02,72.07,2017-12-28 22:00:00
165,0.68,0.6898,0.6667,0.68,1514469600,397.59,267.39,2017-12-28 23:00:00
166,0.669,0.6859,0.6589,0.68,1514473200,28.45,19.09,2017-12-29 00:00:00
167,0.6724,0.675,0.659,0.669,1514476800,20.48,13.66,2017-12-29 01:00:00
168,0.675,0.675,0.6589,0.6724,1514480400,10.0,6.66,2017-12-29 02:00:00
169,0.6613,0.675,0.6501,0.675,1514484000,112.96,75.18,2017-12-29 03:00:00
170,0.671,0.6749,0.6502,0.6613,1514487600,4.69,3.12,2017-12-29 04:00:00
171,0.6642,0.675,0.66,0.671,1514491200,45.15,30.05,2017-12-29 05:00:00
172,0.6848,0.6848,0.66,0.6642,1514494800,28.39,19.05,2017-12-29 06:00:00
173,0.6796,0.6848,0.661,0.6848,1514498400,14.64,9.84,2017-12-29 07:00:00
174,0.675,0.6826,0.6674,0.6796,1514502000,24.86,16.73,2017-12-29 08:00:00
