,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.0007381,0.00074,0.000702,0.00072,1513875600,247030,179.75,2017-12-22 02:00:00
1,0.0006629,0.0007381,0.000648,0.0007381,1513879200,371496,251.28,2017-12-22 03:00:00
2,0.0007347,0.000747,0.000661,0.0006629,1513882800,209933,150.93,2017-12-22 04:00:00
3,0.0007596,0.0007749,0.0007342,0.0007347,1513886400,308931,233.22,2017-12-22 05:00:00
4,0.00076,0.00077,0.0007,0.0007596,1513890000,237934,176.68,2017-12-22 06:00:00
5,0.0007355,0.0007763,0.0007279,0.00076,1513893600,242589,180.21,2017-12-22 07:00:00
6,0.000733,0.0007495,0.0007037,0.0007355,1513897200,92133,67.78,2017-12-22 08:00:00
7,0.0007187,0.0007345,0.0007187,0.000733,1513900800,116417,84.7,2017-12-22 09:00:00
8,0.0006957,0.00073,0.0006956,0.0007187,1513904400,188438,134.97,2017-12-22 10:00:00
9,0.0007012,0.000728,0.000647,0.0006957,1513908000,392915,273.94,2017-12-22 11:00:00
10,0.0006894,0.000703,0.0006611,0.0007012,1513911600,266873,181.67,2017-12-22 12:00:00
11,0.0007188,0.000729,0.0006805,0.0006894,1513915200,109558,77.91,2017-12-22 13:00:00
12,0.0006901,0.0007188,0.0006901,0.0007188,1513918800,77106,54.38,2017-12-22 14:00:00
13,0.000692,0.000709,0.0006759,0.0006901,1513922400,118883,82.34,2017-12-22 15:00:00
14,0.0007044,0.000715,0.000681,0.000692,1513926000,300288,208.98,2017-12-22 16:00:00
15,0.0006622,0.000707,0.000662,0.0007044,1513929600,274792,186.38,2017-12-22 17:00:00
16,0.0006649,0.0006701,0.00065,0.0006622,1513933200,124202,81.84,2017-12-22 18:00:00
17,0.0007009,0.0007018,0.0006541,0.0006649,1513936800,119957,79.97,2017-12-22 19:00:00
18,0.000699,0.000709,0.00065,0.0007009,1513940400,200337,137.66,2017-12-22 20:00:00
19,0.000722,0.0007228,0.0006923,0.000699,1513944000,329740,235.18,2017-12-22 21:00:00
20,0.0007205,0.000722,0.0007,0.000722,1513947600,178451,127.67,2017-12-22 22:00:00
21,0.0007103,0.0007333,0.0006924,0.0007205,1513951200,205478,148.19,2017-12-22 23:00:00
22,0.0006939,0.0007103,0.0006825,0.0007103,1513954800,129951,89.71,2017-12-23 00:00:00
23,0.00069,0.0007049,0.00068,0.0006939,1513958400,71064,48.97,2017-12-23 01:00:00
24,0.0006937,0.0007102,0.0006712,0.00069,1513962000,324419,225.39,2017-12-23 02:00:00
25,0.0007162,0.000729,0.0006937,0.0006937,1513965600,128363,91.55,2017-12-23 03:00:00
26,0.000726,0.0007289,0.000701,0.0007162,1513969200,62734,45.26,2017-12-23 04:00:00
27,0.00075,0.0007518,0.000722,0.000726,1513972800,152336,112.6,2017-12-23 05:00:00
28,0.0007476,0.0007611,0.000733,0.00075,1513976400,130200,97.6,2017-12-23 06:00:00
29,0.0007589,0.0007589,0.0007366,0.0007476,1513980000,96881,72.15,2017-12-23 07:00:00
30,0.0007656,0.0007666,0.000744,0.0007589,1513983600,195993,149.09,2017-12-23 08:00:00
31,0.0007621,0.0007666,0.000751,0.0007656,1513987200,123401,94.1,2017-12-23 09:00:00
32,0.000746,0.0007656,0.000743,0.0007621,1513990800,113166,85.01,2017-12-23 10:00:00
33,0.000733,0.000746,0.000725,0.000746,1513994400,106166,78.01,2017-12-23 11:00:00
34,0.0007361,0.0007437,0.00073,0.000733,1513998000,87703,64.63,2017-12-23 12:00:00
35,0.000744,0.0007617,0.0007361,0.0007361,1514001600,392624,292.18,2017-12-23 13:00:00
36,0.000743,0.000752,0.000736,0.000744,1514005200,156535,116.31,2017-12-23 14:00:00
37,0.0007409,0.000752,0.000725,0.000743,1514008800,60408,44.39,2017-12-23 15:00:00
38,0.000728,0.0007599,0.00072,0.0007409,1514012400,249296,183.32,2017-12-23 16:00:00
39,0.0007596,0.0007596,0.000728,0.000728,1514016000,83959,62.34,2017-12-23 17:00:00
40,0.0007458,0.0007596,0.0007457,0.0007596,1514019600,58485,43.75,2017-12-23 18:00:00
41,0.0007572,0.0007585,0.0007458,0.0007458,1514023200,48591,36.33,2017-12-23 19:00:00
42,0.0007662,0.0007662,0.0007467,0.0007572,1514026800,113626,86.45,2017-12-23 20:00:00
43,0.000789,0.000789,0.000752,0.0007662,1514030400,84190,64.89,2017-12-23 21:00:00
44,0.0009149,0.000945,0.0007889,0.000789,1514034000,862678,736.35,2017-12-23 22:00:00
45,0.000933,0.001081,0.0009101,0.0009149,1514037600,1131375,1104.59,2017-12-23 23:00:00
46,0.000903,0.0009989,0.00088,0.000933,1514041200,445443,413.87,2017-12-24 00:00:00
47,0.0009586,0.0009687,0.0008805,0.000903,1514044800,508505,473.63,2017-12-24 01:00:00
48,0.000999,0.001,0.0009099,0.0009586,1514048400,483543,467.87,2017-12-24 02:00:00
49,0.0009698,0.0009998,0.0009111,0.000999,1514052000,291264,277.11,2017-12-24 03:00:00
50,0.0009781,0.0009966,0.00096,0.0009698,1514055600,236686,231.14,2017-12-24 04:00:00
51,0.0009945,0.00102,0.0009781,0.0009781,1514059200,268901,268.8,2017-12-24 05:00:00
52,0.001,0.001099,0.0009912,0.0009945,1514062800,482987,496.28,2017-12-24 06:00:00
53,0.00093,0.001012,0.000921,0.001,1514066400,201018,195.86,2017-12-24 07:00:00
54,0.000925,0.00101,0.00092,0.00093,1514070000,219243,210.17,2017-12-24 08:00:00
55,0.0009141,0.000925,0.000873,0.000925,1514073600,210337,188.3,2017-12-24 09:00:00
56,0.0009255,0.00096,0.000893,0.0009141,1514077200,317628,291.13,2017-12-24 10:00:00
57,0.00089,0.000959,0.00089,0.0009255,1514080800,279469,250.33,2017-12-24 11:00:00
58,0.000935,0.000935,0.000888,0.00089,1514084400,229969,207.56,2017-12-24 12:00:00
59,0.0008989,0.0009489,0.000892,0.000935,1514088000,187168,172.48,2017-12-24 13:00:00
60,0.0009225,0.0009295,0.0008989,0.0008989,1514091600,164108,151.25,2017-12-24 14:00:00
61,0.0009742,0.0009743,0.0009225,0.0009225,1514095200,189210,180.54,2017-12-24 15:00:00
62,0.000931,0.0009742,0.000931,0.0009742,1514098800,128065,120.93,2017-12-24 16:00:00
63,0.0009745,0.00099,0.0009077,0.000931,1514102400,175433,169.05,2017-12-24 17:00:00
64,0.0009657,0.0009813,0.000964,0.0009745,1514106000,98732,96.36,2017-12-24 18:00:00
65,0.0009435,0.0009992,0.000931,0.0009657,1514109600,159475,151.3,2017-12-24 19:00:00
66,0.0009073,0.000951,0.0008898,0.0009435,1514113200,158996,144.38,2017-12-24 20:00:00
67,0.000882,0.000918,0.000882,0.0009073,1514116800,236160,212.46,2017-12-24 21:00:00
68,0.0009054,0.0009145,0.000882,0.000882,1514120400,117109,105.52,2017-12-24 22:00:00
69,0.0009145,0.0009145,0.000895,0.0009054,1514124000,78375,71.01,2017-12-24 23:00:00
70,0.0009019,0.0009318,0.0008889,0.0009145,1514127600,107471,98.43,2017-12-25 00:00:00
71,0.0008961,0.0009091,0.000887,0.0009019,1514131200,48959,43.85,2017-12-25 01:00:00
72,0.0009,0.000914,0.0008961,0.0008961,1514134800,21691,19.54,2017-12-25 02:00:00
73,0.000897,0.000983,0.000882,0.0009,1514138400,60391,54.27,2017-12-25 03:00:00
74,0.0009045,0.0009342,0.0008885,0.000897,1514142000,27489,25.16,2017-12-25 04:00:00
75,0.0009043,0.000927,0.000894,0.0009045,1514145600,23028,20.8,2017-12-25 05:00:00
76,0.0009271,0.00093,0.0009043,0.0009043,1514149200,16932,15.4,2017-12-25 06:00:00
77,0.0009213,0.00093,0.0009052,0.0009271,1514152800,25112,23.25,2017-12-25 07:00:00
78,0.0009317,0.0009477,0.0009213,0.0009213,1514156400,42493,39.79,2017-12-25 08:00:00
79,0.0009151,0.0009477,0.0009144,0.0009317,1514160000,60556,56.02,2017-12-25 09:00:00
80,0.000923,0.00095,0.0009151,0.0009151,1514163600,134829,125.36,2017-12-25 10:00:00
81,0.000935,0.00095,0.00091,0.000923,1514167200,60868,55.97,2017-12-25 11:00:00
82,0.000915,0.0009695,0.000915,0.000935,1514170800,82336,77.38,2017-12-25 12:00:00
83,0.0009151,0.0009335,0.0009,0.000915,1514174400,99751,91.36,2017-12-25 13:00:00
84,0.0009564,0.000969,0.00091,0.0009151,1514178000,343228,320.58,2017-12-25 14:00:00
85,0.0009466,0.0009625,0.0009233,0.0009564,1514181600,60885,57.73,2017-12-25 15:00:00
86,0.0009314,0.000959,0.0009222,0.0009466,1514185200,44130,41.47,2017-12-25 16:00:00
87,0.0009255,0.0009355,0.0009126,0.0009314,1514188800,137493,126.45,2017-12-25 17:00:00
88,0.0009588,0.000959,0.0009169,0.0009255,1514192400,33689,31.76,2017-12-25 18:00:00
89,0.00097,0.00097,0.0009278,0.0009588,1514196000,75967,73.12,2017-12-25 19:00:00
90,0.00096,0.00097,0.0009418,0.00097,1514199600,47094,45.15,2017-12-25 20:00:00
91,0.000951,0.000978,0.0009418,0.00096,1514203200,30074,28.69,2017-12-25 21:00:00
92,0.0009421,0.000973,0.000921,0.000951,1514206800,44198,41.85,2017-12-25 22:00:00
93,0.0009188,0.000995,0.0008889,0.0009421,1514210400,323841,304.49,2017-12-25 23:00:00
94,0.0009224,0.0009299,0.000903,0.0009188,1514214000,13887,12.79,2017-12-26 00:00:00
95,0.0009359,0.000959,0.000919,0.0009224,1514217600,37881,35.47,2017-12-26 01:00:00
